feature,mean_abs_shap_com_uf,rank_com_uf,mean_abs_shap_sem_uf,rank_sem_uf,delta_rank
PROP_MAT_PRETA,0.010211903148744,5,0.041752219886433,1.0,4.0
IDH_EXPECT_ANOS_ESTUDO,0.0096863870236336,6,0.0323214804484454,2.0,4.0
COBERTURA_CRECHE_0_3,0.0402803680383049,2,0.0226074545273108,3.0,-1.0
TAXA_OCUP_MASC,0.0079203804144118,8,0.0169910279096621,4.0,4.0
IDH_RAZAO_DEPENDENCIA,0.0078248624554422,9,0.015667401326307,5.0,4.0
LOG_POP_TOTAL,0.0157245675745518,3,0.014679493589063,6.0,-3.0
PROP_MAT_BRANCA,0.0024960929671369,15,0.0125707161219597,7.0,8.0
PROP_ESC_PUBLICA,0.0127331709347627,4,0.0089924636244867,8.0,-4.0
RENDA_MEDIANA_RESPONSAVEL,0.008217504224169,7,0.0062309096942431,9.0,-2.0
TAXA_OCUP_FEM,0.0053343774486768,11,0.0061733894089293,10.0,1.0
MEDIA_MAT_0_3_POR_ESCOLA,0.0049136847203845,12,0.0052114500781275,11.0,1.0
PERC_RENDA_OUTRAS_FONTES,0.0009693959971376,20,0.0049887357519597,12.0,8.0
IDH_GINI,0.0010799237783586,19,0.0047003498244615,13.0,6.0
PIB_PC,0.0011169618464286,18,0.0045021787969849,14.0,4.0
PROP_MAT_INDIGENA,0.0015187073465891,16,0.0032028761028537,15.0,1.0
IDH_PROP_POBREZA_CRIANCAS,0.0035530772949273,13,0.0031078825026915,16.0,-3.0
PROP_ESC_URBANA,0.0029401444171154,14,0.0028723514428752,17.0,-3.0
ESCOLAS_CRECHE_POR_1000_CRIAN,0.005423569451857,10,0.0024105083881839,18.0,-8.0
PROP_MAT_PARDA,0.0014360894673953,17,0.0008880136505851,19.0,-2.0
PROP_MAES_JOVENS,0.0006744519814109,22,0.0006776921038542,20.0,2.0
LOG_PIB_PC,0.0001611984934746,23,0.000399534291196,21.0,2.0
PROP_DOM_SEM_CONJUGE_MULHER,0.0008638194573507,21,0.0002019408343541,22.0,-1.0
SG_UF,0.1090187672287146,1,,,
