instance_rank,original_index,counterfactual_id,feature,original_value,counterfactual_value,feature_type,numeric_delta,changed_from_to
1,333,1,COBERTURA_CRECHE_0_3,0.664207,0.311318,actionable,-0.352889,0.664207 → 0.311318
1,333,1,PERC_RENDA_OUTRAS_FONTES,45.04,60.85,actionable,15.810000000000002,45.04 → 60.85
1,333,2,PROP_MAT_BRANCA,0.119542,0.777525,actionable,0.657983,0.119542 → 0.777525
1,333,2,PROP_MAT_INDIGENA,0.000716,0.3,actionable,0.299284,0.000716 → 0.3
1,333,3,PROP_MAT_BRANCA,0.119542,0.49702,actionable,0.37747800000000004,0.119542 → 0.49702
2,7,1,IDH_EXPECT_ANOS_ESTUDO,7.96,10.06,actionable,2.1000000000000005,7.96 → 10.06
2,7,2,MEDIA_MAT_0_3_POR_ESCOLA,7.0,4.0,actionable,-3.0,7.0 → 4.0
2,7,2,TAXA_OCUP_MASC,0.566793,0.491776,actionable,-0.075017,0.566793 → 0.491776
2,7,3,IDH_EXPECT_ANOS_ESTUDO,7.96,8.56,actionable,0.6000000000000005,7.96 → 8.56
3,326,1,PROP_MAT_PRETA,0.074943,0.428008,actionable,0.353065,0.074943 → 0.428008
3,326,1,IDH_RAZAO_DEPENDENCIA,56.93,73.69,actionable,16.759999999999998,56.93 → 73.69
3,326,2,PROP_MAT_INDIGENA,0.00198,0.9,actionable,0.89802,0.00198 → 0.9
3,326,2,IDH_RAZAO_DEPENDENCIA,56.93,73.42,actionable,16.490000000000002,56.93 → 73.42
3,326,3,PROP_MAT_BRANCA,0.167986,0.507412,actionable,0.339426,0.167986 → 0.507412
3,326,3,PROP_MAT_PARDA,0.75,0.296432,actionable,-0.453568,0.75 → 0.296432
4,321,1,IDH_PROP_POBREZA_CRIANCAS,44.73,70.63,actionable,25.9,44.73 → 70.63
4,321,1,IDH_EXPECT_ANOS_ESTUDO,8.01,10.06,actionable,2.0500000000000007,8.01 → 10.06
4,321,2,LOG_POP_TOTAL,11.358095,8.08223,actionable,-3.2758650000000014,11.358095 → 8.08223
4,321,2,RENDA_MEDIANA_RESPONSAVEL,1212.0,1908.3,actionable,696.3,1212.0 → 1908.3
4,321,3,PERC_RENDA_OUTRAS_FONTES,34.26,15.98,actionable,-18.279999999999998,34.26 → 15.98
4,321,3,IDH_EXPECT_ANOS_ESTUDO,8.01,10.01,actionable,2.0,8.01 → 10.01
5,216,1,PROP_MAT_BRANCA,0.077085,0.046104,actionable,-0.030981,0.077085 → 0.046104
5,216,1,COBERTURA_CRECHE_0_3,0.51166,0.403018,actionable,-0.10864200000000002,0.51166 → 0.403018
5,216,2,COBERTURA_CRECHE_0_3,0.51166,0.231395,actionable,-0.280265,0.51166 → 0.231395
5,216,2,ESCOLAS_CRECHE_POR_1000_CRIAN,48.010974,121.608842,actionable,73.597868,48.010974 → 121.608842
5,216,3,IDH_EXPECT_ANOS_ESTUDO,7.16,9.1,actionable,1.9399999999999995,7.16 → 9.1
6,271,1,PROP_MAT_PARDA,0.911278,0.60358,actionable,-0.307698,0.911278 → 0.60358
6,271,1,IDH_RAZAO_DEPENDENCIA,62.64,76.48,actionable,13.840000000000003,62.64 → 76.48
6,271,2,PROP_MAT_BRANCA,0.03183,0.797481,actionable,0.765651,0.03183 → 0.797481
6,271,2,IDH_EXPECT_ANOS_ESTUDO,7.45,9.88,actionable,2.4300000000000006,7.45 → 9.88
6,271,3,RENDA_MEDIANA_RESPONSAVEL,900.0,1897.9,actionable,997.9000000000001,900.0 → 1897.9
6,271,3,IDH_RAZAO_DEPENDENCIA,62.64,81.8,actionable,19.159999999999997,62.64 → 81.8
7,343,1,IDH_EXPECT_ANOS_ESTUDO,7.91,8.74,actionable,0.8300000000000001,7.91 → 8.74
7,343,2,IDH_EXPECT_ANOS_ESTUDO,7.91,10.97,actionable,3.0600000000000005,7.91 → 10.97
7,343,3,LOG_POP_TOTAL,10.564473,12.450649,actionable,1.8861760000000007,10.564473 → 12.450649
7,343,3,IDH_RAZAO_DEPENDENCIA,46.47,86.28,actionable,39.81,46.47 → 86.28
8,82,1,PROP_MAT_BRANCA,0.139075,0.586861,actionable,0.44778599999999996,0.139075 → 0.586861
8,82,2,PROP_MAT_INDIGENA,0.008472,0.8,actionable,0.791528,0.008472 → 0.8
8,82,2,TAXA_OCUP_MASC,0.528635,0.248482,actionable,-0.280153,0.528635 → 0.248482
8,82,3,PROP_MAT_BRANCA,0.139075,0.768863,actionable,0.629788,0.139075 → 0.768863
8,82,3,PROP_DOM_SEM_CONJUGE_MULHER,0.146096,0.187774,actionable,0.04167799999999999,0.146096 → 0.187774
9,226,1,PROP_DOM_SEM_CONJUGE_MULHER,0.144015,0.089074,actionable,-0.054941000000000004,0.144015 → 0.089074
9,226,1,IDH_RAZAO_DEPENDENCIA,47.86,88.63,actionable,40.769999999999996,47.86 → 88.63
9,226,2,MEDIA_MAT_0_3_POR_ESCOLA,17.0,72.0,actionable,55.0,17.0 → 72.0
9,226,2,IDH_EXPECT_ANOS_ESTUDO,7.89,9.53,actionable,1.6399999999999997,7.89 → 9.53
9,226,3,IDH_EXPECT_ANOS_ESTUDO,7.89,10.56,actionable,2.670000000000001,7.89 → 10.56
9,226,3,IDH_RAZAO_DEPENDENCIA,47.86,82.6,actionable,34.739999999999995,47.86 → 82.6
10,130,1,PROP_MAT_BRANCA,0.109009,0.703071,actionable,0.594062,0.109009 → 0.703071
10,130,1,PERC_RENDA_OUTRAS_FONTES,43.88,42.46,actionable,-1.4200000000000017,43.88 → 42.46
10,130,2,PROP_MAT_BRANCA,0.109009,0.430786,actionable,0.321777,0.109009 → 0.430786
10,130,2,PROP_DOM_SEM_CONJUGE_MULHER,0.195178,0.213815,actionable,0.018637000000000015,0.195178 → 0.213815
10,130,3,IDH_RAZAO_DEPENDENCIA,51.88,80.93,actionable,29.050000000000004,51.88 → 80.93
