feature,feature_type,n_changes,mean_delta,median_delta,mean_abs_delta
IDH_EXPECT_ANOS_ESTUDO,actionable,10,1.9320000000000004,2.0250000000000004,1.9320000000000004
PROP_MAT_BRANCA,actionable,9,0.45588555555555554,0.44778599999999996,0.46277022222222225
IDH_RAZAO_DEPENDENCIA,actionable,8,26.3275,24.105,26.3275
PROP_MAT_INDIGENA,actionable,3,0.662944,0.791528,0.662944
PROP_DOM_SEM_CONJUGE_MULHER,actionable,3,0.0017913333333333347,0.018637000000000015,0.03841866666666667
PERC_RENDA_OUTRAS_FONTES,actionable,3,-1.2966666666666657,-1.4200000000000017,11.836666666666668
COBERTURA_CRECHE_0_3,actionable,3,-0.24726533333333334,-0.280265,0.24726533333333334
PROP_MAT_PARDA,actionable,2,-0.380633,-0.380633,0.380633
RENDA_MEDIANA_RESPONSAVEL,actionable,2,847.1,847.1,847.1
LOG_POP_TOTAL,actionable,2,-0.6948445000000003,-0.6948445000000003,2.581020500000001
MEDIA_MAT_0_3_POR_ESCOLA,actionable,2,26.0,26.0,29.0
TAXA_OCUP_MASC,actionable,2,-0.177585,-0.177585,0.177585
ESCOLAS_CRECHE_POR_1000_CRIAN,actionable,1,73.597868,73.597868,73.597868
IDH_PROP_POBREZA_CRIANCAS,actionable,1,25.9,25.9,25.9
PROP_MAT_PRETA,actionable,1,0.353065,0.353065,0.353065
