instance_rank,original_index,counterfactual_id,feature,original_value,counterfactual_value
1,333,1,COBERTURA_CRECHE_0_3,0.664207,0.311318
1,333,1,PERC_RENDA_OUTRAS_FONTES,45.04,60.85
1,333,2,PROP_MAT_BRANCA,0.119542,0.777525
1,333,2,PROP_MAT_INDIGENA,0.000716,0.3
1,333,3,PROP_MAT_BRANCA,0.119542,0.49702
2,7,1,IDH_EXPECT_ANOS_ESTUDO,7.96,10.06
2,7,2,MEDIA_MAT_0_3_POR_ESCOLA,7.0,4.0
2,7,2,TAXA_OCUP_MASC,0.566793,0.491776
2,7,3,IDH_EXPECT_ANOS_ESTUDO,7.96,8.56
3,326,1,PROP_MAT_PRETA,0.074943,0.428008
3,326,1,IDH_RAZAO_DEPENDENCIA,56.93,73.69
3,326,2,PROP_MAT_INDIGENA,0.00198,0.9
3,326,2,IDH_RAZAO_DEPENDENCIA,56.93,73.42
3,326,3,PROP_MAT_BRANCA,0.167986,0.507412
3,326,3,PROP_MAT_PARDA,0.75,0.296432
4,321,1,IDH_PROP_POBREZA_CRIANCAS,44.73,70.63
4,321,1,IDH_EXPECT_ANOS_ESTUDO,8.01,10.06
4,321,2,LOG_POP_TOTAL,11.358095,8.08223
4,321,2,RENDA_MEDIANA_RESPONSAVEL,1212.0,1908.3
4,321,3,PERC_RENDA_OUTRAS_FONTES,34.26,15.98
4,321,3,IDH_EXPECT_ANOS_ESTUDO,8.01,10.01
5,216,1,PROP_MAT_BRANCA,0.077085,0.046104
5,216,1,COBERTURA_CRECHE_0_3,0.51166,0.403018
5,216,2,COBERTURA_CRECHE_0_3,0.51166,0.231395
5,216,2,ESCOLAS_CRECHE_POR_1000_CRIAN,48.010974,121.608842
5,216,3,IDH_EXPECT_ANOS_ESTUDO,7.16,9.1
6,271,1,PROP_MAT_PARDA,0.911278,0.60358
6,271,1,IDH_RAZAO_DEPENDENCIA,62.64,76.48
6,271,2,PROP_MAT_BRANCA,0.03183,0.797481
6,271,2,IDH_EXPECT_ANOS_ESTUDO,7.45,9.88
6,271,3,RENDA_MEDIANA_RESPONSAVEL,900.0,1897.9
6,271,3,IDH_RAZAO_DEPENDENCIA,62.64,81.8
7,343,1,IDH_EXPECT_ANOS_ESTUDO,7.91,8.74
7,343,2,IDH_EXPECT_ANOS_ESTUDO,7.91,10.97
7,343,3,LOG_POP_TOTAL,10.564473,12.450649
7,343,3,IDH_RAZAO_DEPENDENCIA,46.47,86.28
8,82,1,PROP_MAT_BRANCA,0.139075,0.586861
8,82,2,PROP_MAT_INDIGENA,0.008472,0.8
8,82,2,TAXA_OCUP_MASC,0.528635,0.248482
8,82,3,PROP_MAT_BRANCA,0.139075,0.768863
8,82,3,PROP_DOM_SEM_CONJUGE_MULHER,0.146096,0.187774
9,226,1,PROP_DOM_SEM_CONJUGE_MULHER,0.144015,0.089074
9,226,1,IDH_RAZAO_DEPENDENCIA,47.86,88.63
9,226,2,MEDIA_MAT_0_3_POR_ESCOLA,17.0,72.0
9,226,2,IDH_EXPECT_ANOS_ESTUDO,7.89,9.53
9,226,3,IDH_EXPECT_ANOS_ESTUDO,7.89,10.56
9,226,3,IDH_RAZAO_DEPENDENCIA,47.86,82.6
10,130,1,PROP_MAT_BRANCA,0.109009,0.703071
10,130,1,PERC_RENDA_OUTRAS_FONTES,43.88,42.46
10,130,2,PROP_MAT_BRANCA,0.109009,0.430786
10,130,2,PROP_DOM_SEM_CONJUGE_MULHER,0.195178,0.213815
10,130,3,IDH_RAZAO_DEPENDENCIA,51.88,80.93
