instance_rank,original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,original__PROP_ESC_PUBLICA,counterfactual__PROP_ESC_PUBLICA,original__PROP_ESC_URBANA,counterfactual__PROP_ESC_URBANA,original__PROP_MAT_BRANCA,counterfactual__PROP_MAT_BRANCA,original__PROP_MAT_PRETA,counterfactual__PROP_MAT_PRETA,original__PROP_MAT_PARDA,counterfactual__PROP_MAT_PARDA,original__PROP_MAT_INDIGENA,counterfactual__PROP_MAT_INDIGENA,original__COBERTURA_CRECHE_0_3,counterfactual__COBERTURA_CRECHE_0_3,original__ESCOLAS_CRECHE_POR_1000_CRIAN,counterfactual__ESCOLAS_CRECHE_POR_1000_CRIAN,original__MEDIA_MAT_0_3_POR_ESCOLA,counterfactual__MEDIA_MAT_0_3_POR_ESCOLA,original__LOG_POP_TOTAL,counterfactual__LOG_POP_TOTAL,original__PIB_PC,counterfactual__PIB_PC,original__LOG_PIB_PC,counterfactual__LOG_PIB_PC,original__TAXA_OCUP_FEM,counterfactual__TAXA_OCUP_FEM,original__TAXA_OCUP_MASC,counterfactual__TAXA_OCUP_MASC,original__PROP_MAES_JOVENS,counterfactual__PROP_MAES_JOVENS,original__PROP_DOM_SEM_CONJUGE_MULHER,counterfactual__PROP_DOM_SEM_CONJUGE_MULHER,original__PERC_RENDA_OUTRAS_FONTES,counterfactual__PERC_RENDA_OUTRAS_FONTES,original__RENDA_MEDIANA_RESPONSAVEL,counterfactual__RENDA_MEDIANA_RESPONSAVEL,original__IDH_PROP_POBREZA_CRIANCAS,counterfactual__IDH_PROP_POBREZA_CRIANCAS,original__IDH_GINI,counterfactual__IDH_GINI,original__IDH_EXPECT_ANOS_ESTUDO,counterfactual__IDH_EXPECT_ANOS_ESTUDO,original__IDH_RAZAO_DEPENDENCIA,counterfactual__IDH_RAZAO_DEPENDENCIA
1,333,1,0.5778914259194702,0.46815542330884063,0.0,0.48855046946630504,0.928571,0.928571,0.357143,0.357143,0.119542,0.119542,0.068719,0.068719,0.798855,0.798855,0.000716,0.000716,0.664207,0.311318,51.660517,51.660517,13.0,13.0,8.327484,8.327484,12529.14,12529.14,9.435892,9.435892,0.287087,0.287087,0.527118,0.527118,0.018581,0.018581,0.159278,0.159278,45.04,60.85,1200.0,1200.0,54.9,54.9,0.54,0.54,8.22,8.22,56.92,56.92
1,333,2,0.5778914259194702,0.4847466253340509,0.0,0.48855046946630504,0.928571,0.928571,0.357143,0.357143,0.119542,0.777525,0.068719,0.068719,0.798855,0.798855,0.000716,0.3,0.664207,0.664207,51.660517,51.660517,13.0,13.0,8.327484,8.327484,12529.14,12529.14,9.435892,9.435892,0.287087,0.287087,0.527118,0.527118,0.018581,0.018581,0.159278,0.159278,45.04,45.04,1200.0,1200.0,54.9,54.9,0.54,0.54,8.22,8.22,56.92,56.92
1,333,3,0.5778914259194702,0.48334539773345203,0.0,0.48855046946630504,0.928571,0.928571,0.357143,0.357143,0.119542,0.49702,0.068719,0.068719,0.798855,0.798855,0.000716,0.000716,0.664207,0.664207,51.660517,51.660517,13.0,13.0,8.327484,8.327484,12529.14,12529.14,9.435892,9.435892,0.287087,0.287087,0.527118,0.527118,0.018581,0.018581,0.159278,0.159278,45.04,45.04,1200.0,1200.0,54.9,54.9,0.54,0.54,8.22,8.22,56.92,56.92
2,7,1,0.5798930392388636,0.36539823662080434,0.0,0.49055208278569845,0.903226,0.903226,0.741935,0.741935,0.186047,0.186047,0.077644,0.077644,0.731433,0.731433,0.001125,0.001125,0.226166,0.226166,31.440162,31.440162,7.0,7.0,9.718242,9.718242,15884.82,15884.82,9.673182,9.673182,0.349661,0.349661,0.566793,0.566793,0.007125,0.007125,0.152163,0.152163,38.99,38.99,1212.0,1212.0,32.23,32.23,0.44,0.44,7.96,10.06,55.29,55.29
2,7,2,0.5798930392388636,0.477120931233765,0.0,0.49055208278569845,0.903226,0.903226,0.741935,0.741935,0.186047,0.186047,0.077644,0.077644,0.731433,0.731433,0.001125,0.001125,0.226166,0.226166,31.440162,31.440162,7.0,4.0,9.718242,9.718242,15884.82,15884.82,9.673182,9.673182,0.349661,0.349661,0.566793,0.491776,0.007125,0.007125,0.152163,0.152163,38.99,38.99,1212.0,1212.0,32.23,32.23,0.44,0.44,7.96,7.96,55.29,55.29
2,7,3,0.5798930392388636,0.4511639472950301,0.0,0.49055208278569845,0.903226,0.903226,0.741935,0.741935,0.186047,0.186047,0.077644,0.077644,0.731433,0.731433,0.001125,0.001125,0.226166,0.226166,31.440162,31.440162,7.0,7.0,9.718242,9.718242,15884.82,15884.82,9.673182,9.673182,0.349661,0.349661,0.566793,0.566793,0.007125,0.007125,0.152163,0.152163,38.99,38.99,1212.0,1212.0,32.23,32.23,0.44,0.44,7.96,8.56,55.29,55.29
3,326,1,0.5832785085141484,0.40459789440203,0.0,0.4939375520609833,0.947368,0.947368,0.684211,0.684211,0.167986,0.167986,0.074943,0.428008,0.75,0.75,0.00198,0.00198,0.208171,0.208171,24.64332,24.64332,8.0,8.0,10.102133,10.102133,14434.16,14434.16,9.577422,9.577422,0.335522,0.335522,0.561816,0.561816,0.020125,0.020125,0.15831,0.15831,35.88,35.88,1212.0,1212.0,36.77,36.77,0.4,0.4,8.16,8.16,56.93,73.69
3,326,2,0.5832785085141484,0.4112699786717444,0.0,0.4939375520609833,0.947368,0.947368,0.684211,0.684211,0.167986,0.167986,0.074943,0.074943,0.75,0.75,0.00198,0.9,0.208171,0.208171,24.64332,24.64332,8.0,8.0,10.102133,10.102133,14434.16,14434.16,9.577422,9.577422,0.335522,0.335522,0.561816,0.561816,0.020125,0.020125,0.15831,0.15831,35.88,35.88,1212.0,1212.0,36.77,36.77,0.4,0.4,8.16,8.16,56.93,73.42
3,326,3,0.5832785085141484,0.4856486799180569,0.0,0.4939375520609833,0.947368,0.947368,0.684211,0.684211,0.167986,0.507412,0.074943,0.074943,0.75,0.296432,0.00198,0.00198,0.208171,0.208171,24.64332,24.64332,8.0,8.0,10.102133,10.102133,14434.16,14434.16,9.577422,9.577422,0.335522,0.335522,0.561816,0.561816,0.020125,0.020125,0.15831,0.15831,35.88,35.88,1212.0,1212.0,36.77,36.77,0.4,0.4,8.16,8.16,56.93,56.93
4,321,1,0.588727766042217,0.36206540116877933,0.0,0.49938680958905185,0.855721,0.855721,0.378109,0.378109,0.103522,0.103522,0.151525,0.151525,0.737436,0.737436,0.001289,0.001289,0.30359,0.30359,34.358974,34.358974,9.0,9.0,11.358095,11.358095,23470.33,23470.33,10.063535,10.063535,0.429135,0.429135,0.625893,0.625893,0.016216,0.016216,0.173426,0.173426,34.26,34.26,1212.0,1212.0,44.73,70.63,0.54,0.54,8.01,10.06,49.24,49.24
