PROP_ESC_PUBLICA,PROP_ESC_URBANA,PROP_MAT_BRANCA,PROP_MAT_PRETA,PROP_MAT_PARDA,PROP_MAT_INDIGENA,COBERTURA_CRECHE_0_3,ESCOLAS_CRECHE_POR_1000_CRIAN,MEDIA_MAT_0_3_POR_ESCOLA,LOG_POP_TOTAL,PIB_PC,LOG_PIB_PC,TAXA_OCUP_FEM,TAXA_OCUP_MASC,PROP_MAES_JOVENS,PROP_DOM_SEM_CONJUGE_MULHER,PERC_RENDA_OUTRAS_FONTES,RENDA_MEDIANA_RESPONSAVEL,IDH_PROP_POBREZA_CRIANCAS,IDH_GINI,IDH_EXPECT_ANOS_ESTUDO,IDH_RAZAO_DEPENDENCIA
0.878788,0.424242,0.178451,0.035354,0.775253,0.004209,0.231862,24.682124,9,9.810001,13167.73,9.4856,0.262855,0.491934,0.0251,0.153213,42.11,1212.0,57.0,0.46,9.24,56.04
1.0,0.192308,0.085135,0.095946,0.805405,0.002703,0.13806,97.014925,1,8.091015,38212.01,10.550931,0.227417,0.352281,0.012862,0.150888,51.01,1200.0,61.68,0.53,7.56,63.16
0.9,0.4,0.288615,0.019579,0.691806,0.0,0.385042,27.700831,14,8.463581,13283.88,9.494381,0.131334,0.275081,0.016393,0.136421,61.51,1212.0,61.01,0.49,9.14,57.55
0.90566,0.622642,0.321548,0.016903,0.660258,0.000258,0.317373,22.457627,14,10.53837,14078.76,9.552494,0.336137,0.50385,0.018851,0.127186,50.6,1212.0,63.71,0.54,9.22,60.2
1.0,0.192308,0.203666,0.033265,0.761032,0.000679,0.215889,44.905009,5,9.144307,11930.45,9.386933,0.225884,0.397439,0.009929,0.128688,55.4,1210.0,51.44,0.46,8.34,46.65
0.846154,0.769231,0.198478,0.00613,0.794124,0.0,0.642302,30.326594,21,9.803999,22367.52,10.01541,0.331543,0.475007,0.015305,0.151421,42.72,1212.0,57.54,0.52,9.47,62.81
0.971429,0.257143,0.205726,0.056204,0.729586,0.002651,0.296582,38.588754,8,9.527557,14803.23,9.602668,0.275473,0.475456,0.019477,0.13307,47.17,1212.0,55.27,0.54,9.31,54.6
1.0,0.6,0.212065,0.008706,0.778607,0.000622,0.280788,24.630542,11,8.791334,13546.53,9.51396,0.215896,0.376019,0.02145,0.145351,55.75,1212.0,60.58,0.52,9.9,58.37
0.609626,0.855615,0.109398,0.072047,0.812859,0.001628,0.161661,18.354927,9,12.137307,25606.36,10.150635,0.417412,0.591166,0.012914,0.179914,29.2,1212.0,29.99,0.56,9.36,43.85
0.925,0.375,0.036513,0.079717,0.87402,0.002294,0.271318,44.296788,6,9.571923,14481.99,9.58073,0.308684,0.565909,0.031717,0.14863,40.28,1212.0,59.01,0.51,8.74,57.41
