feature,selection_score,selected
LOG_POP_TOTAL,0.09875419379522743,True
PROP_ESC_PUBLICA,0.08823375819679136,True
PROP_ESC_URBANA,0.0753422824158898,True
PROP_DOM_SEM_CONJUGE_MULHER,0.07058630738556726,True
TAXA_OCUP_MASC,0.0574287524011714,True
ESCOLAS_CRECHE_POR_1000_CRIAN,0.048107213455101494,True
PROP_MAT_PRETA,0.0454233099017598,True
LOG_PIB_PC,0.0383076624523655,True
IDH_PROP_POBREZA_CRIANCAS,0.033592328358357904,True
TAXA_OCUP_FEM,0.030728386992820766,True
COBERTURA_CRECHE_0_3,0.028752883729344703,True
IDH_GINI,0.02419403711730972,True
IDH_EXPECT_ANOS_ESTUDO,0.023592455423435688,True
PERC_RENDA_OUTRAS_FONTES,0.02178026608541561,True
MEDIA_MAT_0_3_POR_ESCOLA,0.021757980574188984,True
PIB_PC,0.020311129164702457,True
IDH_RAZAO_DEPENDENCIA,0.01853002799821102,True
PROP_MAT_INDIGENA,0.016355166927207065,True
RENDA_MEDIANA_RESPONSAVEL,0.0008798950100437075,True
PROP_MAES_JOVENS,0.0006434779848998318,True
PROP_MAT_PARDA,0.0,True
PROP_MAT_BRANCA,0.0,True
