feature,selection_score,selected
LOG_POP_TOTAL,0.09851219077945395,True
PROP_ESC_PUBLICA,0.08717398444274238,True
PROP_ESC_URBANA,0.07650217991947361,True
PROP_DOM_SEM_CONJUGE_MULHER,0.07398920784306906,True
TAXA_OCUP_MASC,0.057516595100103096,True
ESCOLAS_CRECHE_POR_1000_CRIAN,0.049377331366372346,True
PROP_MAT_PRETA,0.04625881713643398,True
IDH_GINI,0.03621153950033129,True
TAXA_OCUP_FEM,0.03551873340363265,True
IDH_PROP_POBREZA_CRIANCAS,0.035354700500067615,True
LOG_PIB_PC,0.034416383472195555,True
IDH_EXPECT_ANOS_ESTUDO,0.028899937773228856,True
COBERTURA_CRECHE_0_3,0.026159117990268932,True
IDH_RAZAO_DEPENDENCIA,0.022353000623661856,True
PIB_PC,0.02173538161687194,True
RENDA_MEDIANA_RESPONSAVEL,0.021729501823404718,True
PERC_RENDA_OUTRAS_FONTES,0.019157714461447206,True
PROP_MAT_INDIGENA,0.017748840705835267,True
PROP_MAES_JOVENS,0.0027575408947431157,True
PROP_MAT_BRANCA,0.0,True
PROP_MAT_PARDA,0.0,True
MEDIA_MAT_0_3_POR_ESCOLA,0.0,True
