NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;CRECHE_POR_1000_HAB;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;PROP_POP_0_4;LOG_POP_TOTAL;LOG_POP_0_4;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE;PROP_DOM_SEM_CONJUGE_MULHER;PROP_DOM_SEM_CONJUGE_HOMEM;PROP_MULHER_ENTRE_RESP_SEM_CONJUGE;PERC_RENDA_OUTRAS_FONTES;RAZAO_OUTRAS_FONTES_TRABALHO;RENDA_MEDIANA_RESPONSAVEL;LOG_RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2018;2100055;Açailândia;MA;0.0;0.842105;0.657895;0.148621;0.013368;0.836045;0.00059;0.15096;12.589815;13.934727;11;0.073203;11.624091;9.009692;23255.61;10.054345;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2019;2100055;Açailândia;MA;0.0;0.842105;0.657895;0.147418;0.01332;0.837017;0.000748;0.158538;13.775624;13.934727;11;0.072756;11.630228;9.009692;20939.52;9.949441;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2020;2100055;Açailândia;MA;0.0;0.842105;0.657895;0.143565;0.013784;0.840089;0.000763;0.14057;12.473369;13.934727;10;0.072321;11.636222;9.009692;23555.38;10.067152;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2021;2100055;Açailândia;MA;0.098648;0.837838;0.684685;0.140004;0.015482;0.841904;0.000971;0.125413;11.047345;13.568023;9;0.0719;11.642057;9.009692;33647.67;10.423729;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2022;2100055;Açailândia;MA;0.135303;0.817391;0.695652;0.145048;0.016151;0.836538;0.001131;0.206821;18.104176;14.056961;15;0.076781;11.576379;9.009692;38939.02;10.569778;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2023;2100055;Açailândia;MA;0.172467;0.818966;0.689655;0.148411;0.018735;0.829575;0.001807;0.210243;18.338808;14.179196;15;0.076781;11.576379;9.009692;40114.14;10.599509;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2024;2100055;Açailândia;MA;0.211423;0.824074;0.694444;0.150097;0.038482;0.806156;0.002013;0.236401;19.645992;13.20132;18;0.074032;11.612834;9.009692;38678.1;10.563055;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2025;2100055;Açailândia;MA;0.240089;0.831776;0.700935;0.156023;0.037382;0.802459;0.001044;0.241657;20.296354;13.079086;18;0.073962;11.613784;9.009692;38641.38;10.562105;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2018;2100105;Afonso Cunha;MA;0.0;1.0;0.208333;0.042669;0.015516;0.938712;0.0;0.240283;15.45834;42.402827;6;0.087494;8.774931;6.340359;7934.77;8.979135;0.275815;0.419239;0.037771;0.148561;0.124486;0.024075;0.837945;43.42;0.767409;1200.0;7.09091;66.8;78.75;82.32;0.59;8.62;74.96
2019;2100105;Afonso Cunha;MA;0.0;1.0;0.208333;0.042851;0.016019;0.938726;0.0;0.150177;10.423053;42.402827;4;0.086757;8.783396;6.340359;7994.33;8.986613;0.275815;0.419239;0.037771;0.148561;0.124486;0.024075;0.837945;43.42;0.767409;1200.0;7.09091;66.8;78.75;82.32;0.59;8.62;74.96
2020;2100105;Afonso Cunha;MA;0.0;1.0;0.208333;0.038669;0.02079;0.937214;0.0;0.159011;11.24962;42.402827;4;0.086044;8.791638;6.340359;10925.21;9.298919;0.275815;0.419239;0.037771;0.148561;0.124486;0.024075;0.837945;43.42;0.767409;1200.0;7.09091;66.8;78.75;82.32;0.59;8.62;74.96
2021;2100105;Afonso Cunha;MA;0.0;1.0;0.24;0.045704;0.024497;0.926508;0.0;0.312721;21.716182;44.169611;7;0.085357;8.799662;6.340359;12826.42;9.45934;0.275815;0.419239;0.037771;0.148561;0.124486;0.024075;0.837945;43.42;0.767409;1200.0;7.09091;66.8;78.75;82.32;0.59;8.62;74.96
2022;2100105;Afonso Cunha;MA;0.864198;1.0;0.24;0.040602;0.023903;0.932875;0.000327;0.362191;26.367188;44.169611;8;0.092122;8.723394;6.340359;19123.21;9.85871;0.275815;0.419239;0.037771;0.148561;0.124486;0.024075;0.837945;43.42;0.767409;1200.0;7.09091;66.8;78.75;82.32;0.59;8.62;74.96
