NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;CRECHE_POR_1000_HAB;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;PROP_POP_0_4;LOG_POP_TOTAL;LOG_POP_0_4;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE;PROP_DOM_SEM_CONJUGE_MULHER;PROP_DOM_SEM_CONJUGE_HOMEM;PROP_MULHER_ENTRE_RESP_SEM_CONJUGE;PERC_RENDA_OUTRAS_FONTES;RAZAO_OUTRAS_FONTES_TRABALHO;RENDA_MEDIANA_RESPONSAVEL;LOG_RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2100055;Açailândia;MA;0.135303;0.817391;0.695652;0.145048;0.016151;0.836538;0.001131;0.206821;18.104176;14.056961;15;0.076781;11.576379;9.009692;38939.02;10.569778;0.374363;0.631811;0.014926;0.1712;0.151264;0.019936;0.883551;21.47;0.273399;1212.0;7.100852;25.17;36.65;53.86;0.56;9.34;55.43
2022;2100105;Afonso Cunha;MA;0.864198;1.0;0.24;0.040602;0.023903;0.932875;0.000327;0.362191;26.367188;44.169611;8;0.092122;8.723394;6.340359;19123.21;9.85871;0.275815;0.419239;0.037771;0.148561;0.124486;0.024075;0.837945;43.42;0.767409;1200.0;7.09091;66.8;78.75;82.32;0.59;8.62;74.96
2022;2100154;Água Doce do Maranhão;MA;0.0;0.969697;0.242424;0.09079;0.014749;0.890528;0.000983;0.187567;16.389392;35.369775;5;0.076841;9.404508;6.839476;9946.8;9.205106;0.311589;0.473313;0.022701;0.133954;0.110829;0.023125;0.827368;45.26;0.826818;1200.0;7.09091;59.52;71.85;79.64;0.59;8.07;65.18
2022;2100204;Alcântara;MA;0.0;0.982143;0.142857;0.066054;0.067747;0.865231;0.000484;0.173045;13.591812;46.589018;4;0.065089;9.823795;7.092574;8321.87;9.026763;0.261981;0.421794;0.021182;0.177424;0.150556;0.026868;0.848566;53.12;1.133106;1200.0;7.09091;54.48;67.97;74.63;0.59;8.21;59.08
2022;2100303;Aldeias Altas;MA;0.008863;0.982759;0.241379;0.043889;0.033889;0.919074;0.000926;0.284128;29.073263;26.839426;11;0.092803;10.055651;7.678789;15862.32;9.671765;0.213457;0.35999;0.023668;0.186619;0.165767;0.020852;0.888264;43.84;0.780627;1200.0;7.09091;60.07;73.89;82.49;0.59;6.68;70.61
2022;2100402;Altamira do Maranhão;MA;0.011299;1.0;0.352941;0.029438;0.012742;0.955624;0.000439;0.316206;27.45463;33.596838;9;0.078486;8.771525;6.228511;12305.88;9.417914;0.271743;0.51944;0.025013;0.13429;0.115838;0.018452;0.862595;43.05;0.755926;1200.0;7.09091;55.51;64.4;80.55;0.52;8.75;64.12
2022;2100436;Alto Alegre do Maranhão;MA;0.0;0.914286;0.571429;0.071256;0.013953;0.913302;0.000372;0.227365;26.239188;17.802645;13;0.081753;10.087849;7.584265;14966.98;9.613669;0.341802;0.536583;0.026239;0.204028;0.18336;0.020668;0.898701;36.25;0.568627;1100.0;7.003974;50.64;63.55;75.95;0.51;8.64;62.93
2022;2100477;Alto Alegre do Pindaré;MA;0.206349;0.985294;0.191176;0.081157;0.016747;0.90034;0.001405;0.434056;39.206534;30.71364;14;0.086114;10.154674;7.703008;10982.03;9.304107;0.27266;0.396289;0.036708;0.157626;0.135607;0.022019;0.860307;44.39;0.798238;1200.0;7.09091;64.61;76.49;86.17;0.57;9.8;72.95
2022;2100501;Alto Parnaíba;MA;0.0;0.974359;0.179487;0.110085;0.003849;0.883757;0.0;0.022573;1.530291;44.018059;1;0.079755;9.315601;6.787845;70851.29;11.168353;0.399655;0.55059;0.025979;0.183834;0.156113;0.027721;0.849206;30.48;0.438435;1212.0;7.100852;43.32;54.81;67.03;0.78;9.58;66.04
2022;2100550;Amapá do Maranhão;MA;0.003205;0.869565;0.521739;0.109673;0.014305;0.873978;0.000681;0.417054;43.514644;35.658915;12;0.089958;8.8778;6.4708;10786.19;9.286115;0.208171;0.379578;0.025561;0.162469;0.131358;0.031111;0.808511;49.32;0.973165;1200.0;7.09091;58.52;68.65;80.3;0.57;8.36;73.9
2022;2100600;Amarante do Maranhão;MA;0.0;0.963768;0.130435;0.058353;0.010638;0.689488;0.239836;0.167501;19.468788;36.344482;5;0.102386;10.520995;8.24223;11733.37;9.370277;0.251672;0.411248;0.059296;0.14016;0.117875;0.022286;0.840999;44.43;0.799532;1200.0;7.09091;50.0;61.2;75.78;0.59;8.21;76.4
2022;2100709;Anajatuba;MA;0.011364;0.972603;0.109589;0.308305;0.11703;0.560822;0.000839;0.177511;13.900956;41.666667;4;0.069189;10.139468;7.469084;9325.57;9.140622;0.232987;0.443633;0.011079;0.174099;0.142367;0.031732;0.817734;53.56;1.153316;1070.0;6.976348;55.32;69.99;74.57;0.6;9.18;59.76
2022;2100808;Anapurus;MA;0.0;0.928571;0.309524;0.047903;0.010485;0.940173;0.000411;0.401274;28.492714;38.216561;10;0.079678;9.531989;7.003065;12914.23;9.466163;0.240997;0.409839;0.020584;0.174206;0.145464;0.028743;0.835007;40.93;0.692907;1100.0;7.003974;54.45;65.71;77.09;0.54;10.1;65.57
2022;2100832;Apicum-Açu;MA;0.559006;0.961538;0.423077;0.108653;0.071288;0.810718;0.0059;0.31681;27.570067;18.678161;17;0.079457;9.771098;7.239215;8709.29;9.07226;0.295532;0.601925;0.026327;0.162012;0.134878;0.027134;0.832518;45.54;0.83621;900.0;6.803505;51.98;65.02;76.5;0.52;9.68;61.3
2022;2100873;Araguanã;MA;0.001972;1.0;0.241379;0.037497;0.020363;0.909362;0.032282;0.544643;45.344781;32.366071;17;0.080136;9.322061;6.799056;10033.81;9.213815;0.284672;0.453037;0.030665;0.150732;0.125195;0.025537;0.830579;44.46;0.800504;1200.0;7.09091;60.27;70.64;85.97;0.52;9.47;67.58
2022;2100907;Araioses;MA;0.005457;0.97619;0.178571;0.042191;0.011408;0.943957;0.000453;0.228805;18.769845;29.797801;8;0.072186;10.572675;7.944492;7965.3;8.982976;0.174303;0.283945;0.01881;0.159392;0.132938;0.026454;0.834031;59.34;1.45942;900.0;6.803505;57.65;70.84;79.42;0.59;8.91;66.17
2022;2100956;Arame;MA;0.0;0.985612;0.107914;0.082832;0.020361;0.531004;0.365109;0.187474;18.69342;58.037578;3;0.093859;10.147139;7.781556;11604.19;9.359207;0.287875;0.45614;0.055707;0.130325;0.110909;0.019416;0.851018;39.98;0.666111;1200.0;7.09091;64.91;75.43;83.15;0.72;6.87;73.87
