NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;QT_MAT_INF_CRE;QT_MAT_INF_CRE_INT;QT_MAT_BAS_0_3;QT_MAT_BAS_BRANCA;QT_MAT_BAS_PRETA;QT_MAT_BAS_PARDA;QT_MAT_BAS_AMARELA;QT_MAT_BAS_INDIGENA;QT_ESCOLAS;QT_ESC_FEDERAL;QT_ESC_ESTADUAL;QT_ESC_MUNICIPAL;QT_ESC_PRIVADA;QT_ESC_PUBLICA;QT_ESC_URBANA;QT_ESC_RURAL;POP_TOTAL;POP_0_4;RENDA_MEDIA_RESPONSAVEL;RENDA_MEDIANA_RESPONSAVEL;PIB;TOTAL_HOMENS;HOMENS_OCUPADOS;TOTAL_MULHERES;MULHERES_OCUPADAS;MULHERES_FILHOS_12_19;MULHERES_FILHOS_TOTAL;DOMICILIOS_TOTAL;DOM_SEM_CONJUGE_TOTAL;DOM_SEM_CONJUGE_HOMEM;DOM_SEM_CONJUGE_MULHER;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_RENDA_PC;IDH_EXPECT_ANOS_ESTUDO;IDH_TAXA_FREQ_0_3;IDH_RAZAO_DEPENDENCIA;PERC_RENDA_TRABALHO;PERC_RENDA_OUTRAS_FONTES
2022;2100055;Açailândia;MA;1929.0;261.0;1692.0;2308.0;257.0;13311.0;18.0;18.0;115;1;16;77;21;94;80;35;106550.0;8181.0;1947.5;1212.0;4148953000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2022;2100105;Afonso Cunha;MA;162.0;140.0;205.0;124.0;73.0;2849.0;7.0;1.0;25;0;1;24;0;25;6;19;6144.0;566.0;2108.75;1200.0;117493000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2022;2100154;Água Doce do Maranhão;MA;199.0;0.0;175.0;277.0;45.0;2717.0;9.0;3.0;33;0;3;29;1;32;8;25;12142.0;933.0;1115.7;1200.0;120774000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2022;2100204;Alcântara;MA;251.0;0.0;208.0;273.0;280.0;3576.0;2.0;2.0;56;2;4;49;1;55;8;48;18467.0;1202.0;1169.58;1200.0;153680000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2022;2100303;Aldeias Altas;MA;677.0;6.0;614.0;237.0;183.0;4963.0;12.0;5.0;58;0;1;56;1;57;14;44;23286.0;2161.0;1112.05;1200.0;369370000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2022;2100402;Altamira do Maranhão;MA;177.0;2.0;160.0;67.0;29.0;2175.0;4.0;1.0;17;0;1;16;0;17;6;11;6447.0;506.0;1361.99;1200.0;79336000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2022;2100436;Alto Alegre do Maranhão;MA;631.0;0.0;447.0;383.0;75.0;4909.0;6.0;2.0;35;0;2;30;3;32;20;15;24048.0;1966.0;1197.25;1100.0;359926000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2022;2100477;Alto Alegre do Pindaré;MA;1008.0;208.0;961.0;693.0;143.0;7688.0;3.0;12.0;68;0;9;58;1;67;13;55;25710.0;2214.0;1300.0;1200.0;282348000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2022;2100501;Alto Parnaíba;MA;17.0;0.0;20.0;143.0;5.0;1148.0;3.0;0.0;39;0;1;37;1;38;7;32;11109.0;886.0;1662.5;1212.0;787087000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2022;2100550;Amapá do Maranhão;MA;312.0;1.0;269.0;161.0;21.0;1283.0;2.0;1.0;23;0;1;19;3;20;12;11;7170.0;645.0;1141.56;1200.0;77337000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2022;2100600;Amarante do Maranhão;MA;722.0;0.0;636.0;554.0;101.0;6546.0;16.0;2277.0;138;0;45;88;5;133;18;120;37085.0;3797.0;1376.69;1200.0;435132000;13656;5616;12858;3236;569;9596;10859;1522;242;1280;50.0;61.2;75.78;0.59;231.79;8.21;10.32;76.4;55.57;44.43
2022;2100709;Anajatuba;MA;352.0;4.0;311.0;735.0;279.0;1337.0;31.0;2.0;73;0;8;63;2;71;8;65;25322.0;1752.0;1129.98;1070.0;236142000;10139;4498;9816;2287;80;7221;8162;1421;259;1162;55.32;69.99;74.57;0.6;207.65;9.18;24.65;59.76;46.44;53.56
2022;2100808;Anapurus;MA;393.0;0.0;441.0;233.0;51.0;4573.0;5.0;2.0;42;0;4;35;3;39;13;29;13793.0;1099.0;1248.48;1100.0;178126000;5224;2141;5415;1305;79;3838;4001;697;115;582;54.45;65.71;77.09;0.54;192.8;10.1;18.47;65.57;59.07;40.93
2022;2100832;Apicum-Açu;MA;483.0;270.0;441.0;221.0;145.0;1649.0;7.0;12.0;26;0;1;24;1;25;11;15;17519.0;1392.0;1105.81;900.0;152578000;6961;4190;6446;1905;123;4672;5049;818;137;681;51.98;65.02;76.5;0.52;215.17;9.68;22.11;61.3;54.46;45.54
2022;2100873;Araguanã;MA;507.0;1.0;488.0;151.0;82.0;3662.0;2.0;130.0;29;0;4;25;0;29;7;22;11181.0;896.0;1165.74;1200.0;112188000;4280;1939;4247;1209;95;3098;3211;484;82;402;60.27;70.64;85.97;0.52;161.57;9.47;24.5;67.58;55.54;44.46
2022;2100907;Araioses;MA;733.0;4.0;645.0;466.0;126.0;10426.0;22.0;5.0;84;1;5;76;2;82;15;69;39052.0;2819.0;1069.01;900.0;311061000;15584;4425;14951;2606;196;10420;11983;1910;317;1593;57.65;70.84;79.42;0.59;175.81;8.91;25.0;66.17;40.66;59.34
2022;2100956;Arame;MA;477.0;0.0;449.0;358.0;88.0;2295.0;3.0;1578.0;139;0;39;98;2;137;15;124;25517.0;2395.0;1264.25;1200.0;296104000;9519;4342;8990;2588;347;6229;7159;933;139;794;64.91;75.43;83.15;0.72;210.09;6.87;14.07;73.87;60.02;39.98
2022;2101004;Arari;MA;724.0;55.0;636.0;598.0;21.0;890.0;3.0;3.0;74;0;7;64;3;71;23;51;29472.0;2131.0;1389.71;1200.0;363217000;11491;5116;11793;3367;89;8173;8972;1679;235;1444;38.56;49.74;65.3;0.57;308.83;9.4;24.33;57.24;57.23;42.77
2022;2101103;Axixá;MA;278.0;0.0;244.0;247.0;28.0;1560.0;0.0;3.0;21;0;2;19;0;21;3;18;11790.0;800.0;1256.2;1212.0;106712000;4531;2201;4654;1443;59;3359;3349;654;80;574;49.2;65.74;75.79;0.54;223.51;9.61;33.05;64.21;52.47;47.53
2022;2101202;Bacabal;MA;2379.0;29.0;2163.0;2813.0;1307.0;13693.0;70.0;15.0;146;1;11;118;16;130;72;74;103711.0;7641.0;1638.82;1212.0;1748315000;37711;23830;42909;17413;580;29098;32910;6703;753;5950;29.79;42.67;58.35;0.55;375.57;9.79;18.69;57.44;70.04;29.96
2022;2101251;Bacabeira;MA;367.0;5.0;334.0;576.0;51.0;2046.0;0.0;0.0;28;0;3;22;3;25;13;15;16966.0;1351.0;1303.27;1200.0;450355000;6344;3626;6553;1827;109;4551;5292;925;138;787;41.72;51.67;69.99;0.54;257.4;9.44;3.84;60.09;67.79;32.21
2022;2101301;Bacuri;MA;468.0;453.0;449.0;269.0;675.0;1984.0;15.0;5.0;34;0;5;29;0;34;11;23;16290.0;1306.0;1187.0;1200.0;138556000;6325;2915;6229;2082;88;4345;5137;977;151;826;50.78;61.73;75.55;0.58;230.45;10.52;24.66;64.61;53.6;46.4
2022;2101350;Bacurituba;MA;120.0;0.0;124.0;48.0;30.0;1071.0;0.0;1.0;20;0;1;18;1;19;6;14;5252.0;350.0;1042.41;1000.0;45480000;2156;1159;2035;682;43;1487;1743;346;66;280;61.9;73.33;84.49;0.55;152.38;10.41;37.1;64.99;44.67;55.33
2022;2101400;Balsas;MA;965.0;23.0;966.0;1715.0;304.0;15468.0;73.0;16.0;122;0;12;83;27;95;74;48;101767.0;8437.0;2637.12;1250.0;8010408000;38326;26288;39620;17849;625;26873;30888;5584;742;4842;21.22;30.79;47.32;0.58;531.6;9.55;16.69;57.42;82.93;17.07
2022;2101509;Barão de Grajaú;MA;129.0;22.0;218.0;160.0;52.0;3316.0;37.0;0.0;35;0;3;29;3;32;13;22;18984.0;1369.0;1492.55;1212.0;293768000;7504;4050;7647;2479;76;5378;6234;1071;135;936;37.68;50.15;61.38;0.52;292.55;8.82;7.37;52.3;60.43;39.57
2022;2101608;Barra do Corda;MA;1550.0;3.0;1421.0;1827.0;491.0;11644.0;112.0;3655.0;225;1;81;130;13;212;47;178;84532.0;6932.0;1666.76;1212.0;1034429000;31575;16907;32864;10873;716;23264;27100;4254;496;3758;44.97;59.63;67.13;0.62;305.61;8.95;17.97;63.51;62.98;37.02
2022;2101707;Barreirinhas;MA;476.0;0.0;439.0;4522.0;380.0;9883.0;1105.0;3.0;183;1;5;172;5;178;34;149;65589.0;5427.0;1290.22;1200.0;753456000;24661;11464;24156;7888;491;15653;18002;2759;388;2371;55.65;65.66;79.37;0.61;197.08;9.11;9.07;73.13;61.24;38.76
2022;2101731;Belágua;MA;467.0;0.0;430.0;55.0;26.0;4320.0;2.0;0.0;60;0;3;56;1;59;10;50;8460.0;871.0;2850.26;710.0;91672000;3083;790;2779;513;81;1956;2070;215;61;154;74.85;82.65;89.27;0.63;107.14;8.06;21.11;92.05;45.48;54.52
2022;2101772;Bela Vista do Maranhão;MA;475.0;23.0;460.0;430.0;198.0;2012.0;8.0;6.0;21;0;1;19;1;20;8;13;11750.0;1019.0;1275.47;1200.0;124651000;4299;2249;4581;1273;150;3418;3493;603;60;543;51.65;65.04;78.95;0.5;197.65;9.23;15.63;67.93;57.85;42.15
2022;2101806;Benedito Leite;MA;43.0;0.0;48.0;130.0;15.0;411.0;4.0;1.0;19;0;2;17;0;19;4;15;5469.0;396.0;1251.32;1200.0;95655000;2241;898;2076;578;12;1555;1764;278;45;233;51.39;65.19;73.75;0.58;217.65;7.6;24.61;57.61;51.66;48.34
