NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;LOG_POP_TOTAL;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE_MULHER;PERC_RENDA_OUTRAS_FONTES;RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA_CRIANCAS;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2100055;Açailândia;MA;0.135303;0.817391;0.695652;0.145048;0.016151;0.836538;0.001131;0.206821;14.056961;15;11.576379;38939.02;10.569778;0.374363;0.631811;0.014926;0.151264;21.47;1212.0;36.65;0.56;9.34;55.43
2022;2100105;Afonso Cunha;MA;0.864198;1.0;0.24;0.040602;0.023903;0.932875;0.000327;0.362191;44.169611;8;8.723394;19123.21;9.85871;0.275815;0.419239;0.037771;0.124486;43.42;1200.0;78.75;0.59;8.62;74.96
2022;2100154;Água Doce do Maranhão;MA;0.0;0.969697;0.242424;0.09079;0.014749;0.890528;0.000983;0.187567;35.369775;5;9.404508;9946.8;9.205106;0.311589;0.473313;0.022701;0.110829;45.26;1200.0;71.85;0.59;8.07;65.18
2022;2100204;Alcântara;MA;0.0;0.982143;0.142857;0.066054;0.067747;0.865231;0.000484;0.173045;46.589018;4;9.823795;8321.87;9.026763;0.261981;0.421794;0.021182;0.150556;53.12;1200.0;67.97;0.59;8.21;59.08
2022;2100303;Aldeias Altas;MA;0.008863;0.982759;0.241379;0.043889;0.033889;0.919074;0.000926;0.284128;26.839426;11;10.055651;15862.32;9.671765;0.213457;0.35999;0.023668;0.165767;43.84;1200.0;73.89;0.59;6.68;70.61
2022;2100402;Altamira do Maranhão;MA;0.011299;1.0;0.352941;0.029438;0.012742;0.955624;0.000439;0.316206;33.596838;9;8.771525;12305.88;9.417914;0.271743;0.51944;0.025013;0.115838;43.05;1200.0;64.4;0.52;8.75;64.12
2022;2100436;Alto Alegre do Maranhão;MA;0.0;0.914286;0.571429;0.071256;0.013953;0.913302;0.000372;0.227365;17.802645;13;10.087849;14966.98;9.613669;0.341802;0.536583;0.026239;0.18336;36.25;1100.0;63.55;0.51;8.64;62.93
2022;2100477;Alto Alegre do Pindaré;MA;0.206349;0.985294;0.191176;0.081157;0.016747;0.90034;0.001405;0.434056;30.71364;14;10.154674;10982.03;9.304107;0.27266;0.396289;0.036708;0.135607;44.39;1200.0;76.49;0.57;9.8;72.95
2022;2100501;Alto Parnaíba;MA;0.0;0.974359;0.179487;0.110085;0.003849;0.883757;0.0;0.022573;44.018059;1;9.315601;70851.29;11.168353;0.399655;0.55059;0.025979;0.156113;30.48;1212.0;54.81;0.78;9.58;66.04
2022;2100550;Amapá do Maranhão;MA;0.003205;0.869565;0.521739;0.109673;0.014305;0.873978;0.000681;0.417054;35.658915;12;8.8778;10786.19;9.286115;0.208171;0.379578;0.025561;0.131358;49.32;1200.0;68.65;0.57;8.36;73.9
2022;2100600;Amarante do Maranhão;MA;0.0;0.963768;0.130435;0.058353;0.010638;0.689488;0.239836;0.167501;36.344482;5;10.520995;11733.37;9.370277;0.251672;0.411248;0.059296;0.117875;44.43;1200.0;61.2;0.59;8.21;76.4
2022;2100709;Anajatuba;MA;0.011364;0.972603;0.109589;0.308305;0.11703;0.560822;0.000839;0.177511;41.666667;4;10.139468;9325.57;9.140622;0.232987;0.443633;0.011079;0.142367;53.56;1070.0;69.99;0.6;9.18;59.76
2022;2100808;Anapurus;MA;0.0;0.928571;0.309524;0.047903;0.010485;0.940173;0.000411;0.401274;38.216561;10;9.531989;12914.23;9.466163;0.240997;0.409839;0.020584;0.145464;40.93;1100.0;65.71;0.54;10.1;65.57
2022;2100832;Apicum-Açu;MA;0.559006;0.961538;0.423077;0.108653;0.071288;0.810718;0.0059;0.31681;18.678161;17;9.771098;8709.29;9.07226;0.295532;0.601925;0.026327;0.134878;45.54;900.0;65.02;0.52;9.68;61.3
2022;2100873;Araguanã;MA;0.001972;1.0;0.241379;0.037497;0.020363;0.909362;0.032282;0.544643;32.366071;17;9.322061;10033.81;9.213815;0.284672;0.453037;0.030665;0.125195;44.46;1200.0;70.64;0.52;9.47;67.58
2022;2100907;Araioses;MA;0.005457;0.97619;0.178571;0.042191;0.011408;0.943957;0.000453;0.228805;29.797801;8;10.572675;7965.3;8.982976;0.174303;0.283945;0.01881;0.132938;59.34;900.0;70.84;0.59;8.91;66.17
2022;2100956;Arame;MA;0.0;0.985612;0.107914;0.082832;0.020361;0.531004;0.365109;0.187474;58.037578;3;10.147139;11604.19;9.359207;0.287875;0.45614;0.055707;0.110909;39.98;1200.0;75.43;0.72;6.87;73.87
2022;2101004;Arari;MA;0.075967;0.959459;0.310811;0.394719;0.013861;0.587459;0.00198;0.298451;34.725481;9;10.29123;12324.14;9.419396;0.285508;0.445218;0.01089;0.160945;42.77;1200.0;49.74;0.57;9.4;57.24
2022;2101103;Axixá;MA;0.0;1.0;0.142857;0.134385;0.015234;0.848749;0.001632;0.305;26.25;12;9.375092;9051.06;9.110748;0.310056;0.485765;0.017565;0.171394;47.53;1212.0;65.74;0.54;9.61;64.21
2022;2101202;Bacabal;MA;0.01219;0.890411;0.493151;0.157168;0.073025;0.765058;0.000838;0.283078;19.107447;15;11.549373;16857.57;9.732614;0.405812;0.631911;0.019933;0.180796;29.96;1212.0;42.67;0.55;9.79;57.44
2022;2101251;Bacabeira;MA;0.013624;0.892857;0.464286;0.215488;0.01908;0.765432;0.0;0.247224;20.725389;12;9.739026;26544.56;10.186618;0.278804;0.571564;0.023951;0.148715;32.21;1200.0;51.67;0.54;9.44;60.09
2022;2101301;Bacuri;MA;0.967949;1.0;0.323529;0.091248;0.228969;0.672999;0.001696;0.343798;26.033691;13;9.698368;8505.59;9.048596;0.334243;0.46087;0.020253;0.160794;46.4;1200.0;61.73;0.58;10.52;64.61
2022;2101350;Bacurituba;MA;0.0;0.95;0.3;0.041739;0.026087;0.931304;0.00087;0.354286;57.142857;6;8.566555;8659.56;9.066534;0.335135;0.53757;0.028917;0.160643;55.33;1000.0;73.33;0.55;10.41;64.99
2022;2101400;Balsas;MA;0.023834;0.778689;0.606557;0.097576;0.017296;0.880064;0.00091;0.114496;14.460116;8;11.530451;78713.22;11.273579;0.450505;0.685905;0.023258;0.15676;17.07;1250.0;30.79;0.58;9.55;57.42
2022;2101509;Barão de Grajaú;MA;0.170543;0.914286;0.371429;0.044881;0.014586;0.930154;0.0;0.15924;25.566107;6;9.851404;15474.5;9.647014;0.324179;0.539712;0.014132;0.150144;39.57;1212.0;50.15;0.52;8.82;52.3
2022;2101608;Barra do Corda;MA;0.001935;0.942222;0.208889;0.103051;0.027695;0.656777;0.206159;0.204991;32.458165;6;11.344897;12237.13;9.412312;0.330848;0.535455;0.030777;0.138672;37.02;1212.0;59.63;0.62;8.95;63.51
2022;2101707;Barreirinhas;MA;0.0;0.972678;0.185792;0.284528;0.02391;0.621846;0.000189;0.080892;33.720287;2;11.091179;11487.54;9.349105;0.326544;0.464864;0.031368;0.131708;38.76;1200.0;65.66;0.61;9.11;73.13
2022;2101731;Belágua;MA;0.0;0.983333;0.166667;0.012491;0.005905;0.981149;0.0;0.493685;68.886338;7;9.043223;10835.93;9.290715;0.184599;0.256244;0.041411;0.074396;54.52;710.0;82.65;0.63;8.06;92.05
2022;2101772;Bela Vista do Maranhão;MA;0.048421;0.952381;0.380952;0.16202;0.074604;0.758101;0.002261;0.451423;20.60844;22;9.371694;10608.6;9.269514;0.277887;0.523145;0.043885;0.155454;42.15;1200.0;65.04;0.5;9.23;67.93
2022;2101806;Benedito Leite;MA;0.0;1.0;0.210526;0.231729;0.026738;0.73262;0.001783;0.121212;47.979798;3;8.607034;17490.4;9.769465;0.27842;0.400714;0.007717;0.132086;48.34;1200.0;65.19;0.58;7.6;57.61
2022;2101905;Bequimão;MA;0.0;0.923077;0.282051;0.196818;0.081633;0.716361;0.002421;0.02292;33.106961;1;9.882519;8106.52;9.000547;0.289303;0.516552;0.01849;0.164117;52.33;1200.0;62.94;0.55;8.61;59.19
2022;2101939;Bernardo do Mearim;MA;0.859649;0.952381;0.190476;0.18932;0.055825;0.747573;0.002427;0.217742;42.33871;5;8.672657;18035.79;9.800169;0.229277;0.385448;0.010216;0.115918;54.03;1212.0;54.93;0.47;10.84;57.13
2022;2101970;Boa Vista do Gurupi;MA;0.0;1.0;0.4;0.083957;0.0266;0.878637;0.002494;0.355783;29.282577;12;8.932609;10638.24;9.272304;0.255203;0.345155;0.042254;0.150882;46.69;1184.0;64.92;0.52;9.38;79.27
2022;2102002;Bom Jardim;MA;0.033639;1.0;0.099174;0.07447;0.039573;0.732677;0.150442;0.415299;42.26336;10;10.407319;15170.66;9.627185;0.2303;0.386703;0.029902;0.142652;48.76;1200.0;64.0;0.58;8.41;70.54
2022;2102036;Bom Jesus das Selvas;MA;0.0;0.983871;0.274194;0.06267;0.020209;0.864214;0.050409;0.181553;22.602989;8;10.261162;14862.9;9.606691;0.30033;0.548743;0.036078;0.129278;32.33;1200.0;56.63;0.62;8.22;63.25
2022;2102077;Bom Lugar;MA;0.0;1.0;0.172414;0.110915;0.020841;0.866478;0.000353;0.310458;31.590414;10;9.410256;10544.63;9.263467;0.278782;0.482581;0.027681;0.112546;45.79;1121.0;69.29;0.49;8.96;60.91
2022;2102101;Brejo;MA;0.187861;0.934211;0.276316;0.064271;0.024599;0.908356;0.000844;0.397581;28.7226;14;10.437668;11323.94;9.334763;0.256563;0.477243;0.019507;0.148689;47.78;900.0;71.68;0.64;8.53;67.57
2022;2102150;Brejo de Areia;MA;0.0;1.0;0.125;0.065473;0.019148;0.912909;0.000618;0.317197;40.764331;8;9.129022;8896.18;9.09349;0.226155;0.39154;0.026843;0.089055;48.12;800.0;61.44;0.48;8.58;71.02
2022;2102200;Buriti;MA;0.0;0.935897;0.192308;0.028986;0.009662;0.960106;0.000156;0.405009;27.906977;15;10.298431;10688.97;9.277061;0.152693;0.307025;0.022199;0.136347;59.35;1000.0;78.96;0.63;10.14;77.3
2022;2102309;Buriti Bravo;MA;0.010292;0.915254;0.457627;0.041927;0.011264;0.945557;0.0;0.310624;34.064665;9;10.019313;13491.61;9.509897;0.275252;0.474953;0.031331;0.148882;48.88;1200.0;60.75;0.55;9.04;67.81
