iter	RMSE
0	0.3562945084
1	0.3552602606
2	0.3542006447
3	0.3531255308
4	0.3521034217
5	0.351103473
6	0.3501201072
7	0.3491245056
8	0.3481510434
9	0.3471725454
10	0.3462307989
11	0.3452902699
12	0.3443664256
13	0.3435084429
14	0.342626015
15	0.3417534286
16	0.3408795201
17	0.3400469633
18	0.3391871064
19	0.3383580831
20	0.3375316239
21	0.3367281458
22	0.3359060033
23	0.3351002309
24	0.334322388
25	0.3335481601
26	0.3328376513
27	0.332055065
28	0.331294333
29	0.3305445381
30	0.3297981511
31	0.329119944
32	0.3283971127
33	0.3277030026
34	0.3270139987
35	0.3263216678
36	0.3256132067
37	0.3250003429
38	0.3243089839
39	0.3237030323
40	0.3230595691
41	0.3224016129
42	0.321749601
43	0.3211153347
44	0.3205039912
45	0.3198681747
46	0.3192492104
47	0.3186801999
48	0.3181230025
49	0.3175303658
50	0.3169433411
51	0.3164041468
52	0.3158623075
53	0.3153531036
54	0.3147918444
55	0.3142238547
56	0.3136631018
57	0.3131685282
58	0.3126192742
59	0.3121135312
60	0.3116545963
61	0.3111185413
62	0.3106227252
63	0.3100943754
64	0.3096098616
65	0.3090880529
66	0.3086237194
67	0.3081457984
68	0.3077090063
69	0.3072276184
70	0.3067381348
71	0.3062653336
72	0.3058014302
73	0.3053342877
74	0.3049035282
75	0.3044313627
76	0.3039874562
77	0.3035233313
78	0.3030673209
79	0.3026346218
80	0.3022195796
81	0.3017789888
82	0.301382893
83	0.3009963192
84	0.3005656659
85	0.3001390289
86	0.2997008097
87	0.2993105264
88	0.2988904386
89	0.2985416715
90	0.2980843621
91	0.2976729264
92	0.2972759404
93	0.2968762738
94	0.296492698
95	0.2960902382
96	0.2956529026
97	0.2953054676
98	0.2949401552
99	0.2946164842
100	0.2942735101
101	0.2939407752
102	0.2935653828
103	0.2931925946
104	0.2927826479
105	0.2924708571
106	0.2921016969
107	0.2917081787
108	0.2913547584
109	0.2909613423
110	0.290593129
111	0.2902650036
112	0.2899414972
113	0.2895743746
114	0.2892675707
115	0.2889290073
116	0.2885433206
117	0.2881794539
118	0.2878868626
119	0.2875426701
120	0.2872512582
121	0.2869236089
122	0.2866638485
123	0.2863410728
124	0.2860440273
125	0.2857002904
126	0.2854391179
127	0.2851487923
128	0.2848354287
129	0.2844114695
130	0.2841668971
131	0.283890907
132	0.2836008004
133	0.2832794471
134	0.2829905688
135	0.2826438622
136	0.2822340347
137	0.2819800379
138	0.2816850063
139	0.2813934106
140	0.2811562574
141	0.2808977416
142	0.280641514
143	0.2803307741
144	0.2800635215
145	0.2797977328
146	0.2794259039
147	0.2791991215
148	0.2789817454
149	0.2787515341
150	0.2784695874
151	0.2781932858
152	0.2778952436
153	0.2776081969
154	0.2773422486
155	0.2770748436
156	0.276831606
157	0.2766528154
158	0.2764592126
159	0.276213311
160	0.2759822525
161	0.2757055677
162	0.2754275663
163	0.2751766766
164	0.2749070237
165	0.274731242
166	0.2745714617
167	0.274298707
168	0.2740606845
169	0.2738623927
170	0.2736588621
171	0.2733955583
172	0.2732073734
173	0.2729517425
174	0.2726022171
175	0.2722902664
176	0.2720394534
177	0.2718521974
178	0.2716539392
179	0.2713477045
180	0.2710998854
181	0.2707726896
182	0.2705600154
183	0.270368608
184	0.2701770645
185	0.2700174596
186	0.269765218
187	0.2695090779
188	0.2693168609
189	0.2691756131
190	0.2689982242
191	0.268669499
192	0.2683938563
193	0.2681470507
194	0.2679830246
195	0.2677829186
196	0.2675034516
197	0.2672306791
198	0.2669249961
199	0.2667189844
200	0.2665169898
201	0.2662119523
202	0.2660059816
203	0.2658193369
204	0.2655761826
205	0.2653393768
206	0.2651706767
207	0.2649961029
208	0.2647323404
209	0.2644924252
210	0.2642819504
211	0.2641116391
212	0.2638818202
213	0.2637437108
214	0.2634763798
215	0.2631885958
216	0.2629972589
217	0.2627886909
218	0.262613736
219	0.2622810319
220	0.2620897541
221	0.2619061204
222	0.2617336042
223	0.2615384334
224	0.2612043805
225	0.2609800739
226	0.2607385348
227	0.2604556408
228	0.2602620249
229	0.2600066577
230	0.2598164522
231	0.2596427613
232	0.2594981655
233	0.2593609601
234	0.2590844502
235	0.2589086158
236	0.2586564213
237	0.2585352721
238	0.2584084692
239	0.2581075307
240	0.2578784247
241	0.2575741455
242	0.257351283
243	0.2571582524
244	0.2569302449
245	0.2567933212
246	0.2565107684
247	0.2562570212
248	0.25609332
249	0.2558881459
250	0.2556776128
251	0.2554715552
252	0.2552968317
253	0.255159963
254	0.2549803997
255	0.2548009579
256	0.2545956999
257	0.2543490539
258	0.2541080949
259	0.2539732249
260	0.2537875211
261	0.2534719749
262	0.2533656533
263	0.253236949
264	0.2530606555
265	0.2528653487
266	0.2527725854
267	0.2525377958
268	0.2523608759
269	0.2522132168
270	0.2520598762
271	0.2519258736
272	0.2517346787
273	0.2515098206
274	0.2513927271
275	0.2511227042
276	0.2509448081
277	0.2507819536
278	0.250657178
279	0.2504250307
280	0.2501703365
281	0.2499952444
282	0.2498267955
283	0.2496954848
284	0.2495487553
285	0.2493327751
286	0.2490470149
287	0.2488917125
288	0.2486906182
289	0.2484644692
290	0.2483353716
291	0.2482460279
292	0.2479684028
293	0.2478227477
294	0.2476306373
295	0.2474533612
296	0.2472958484
297	0.2471491468
298	0.2469958555
299	0.2467666525
300	0.2466399105
301	0.2465179565
302	0.2462955233
303	0.2461315532
304	0.2458874902
305	0.245722853
306	0.2455463146
307	0.2453917678
308	0.2451567474
309	0.2450245883
310	0.2448533359
311	0.2446845238
312	0.2445096665
313	0.2442625522
314	0.2440876391
315	0.2438902148
316	0.2437392974
317	0.2435516346
318	0.2434411146
