original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,n_total_changes,n_actionable_changes,n_non_actionable_changes,actionable_features,non_actionable_features,prediction_delta,abs_prediction_delta,only_actionable,uses_non_actionable
17,1,0.6449697017669678,0.0540727414190769,0.0,0.5556287453138026,2,1,1,PIB_PC,SG_UF,-0.5908969603478909,0.5908969603478909,False,True
17,2,0.6449697017669678,0.397348016500473,0.0,0.5556287453138026,1,1,0,COBERTURA_CRECHE_0_3,,-0.24762168526649475,0.24762168526649475,True,False
17,3,0.6449697017669678,0.2741819024085998,0.0,0.5556287453138026,2,1,1,LOG_PIB_PC,SG_UF,-0.370787799358368,0.370787799358368,False,True
22,1,0.6580827236175537,0.3235442340373993,0.0,0.5687417671643885,2,1,1,PIB_PC,SG_UF,-0.3345384895801544,0.3345384895801544,False,True
22,2,0.6580827236175537,0.1299852281808853,0.0,0.5687417671643885,2,1,1,LOG_PIB_PC,SG_UF,-0.5280974954366684,0.5280974954366684,False,True
22,3,0.6580827236175537,0.4530674517154693,0.0,0.5687417671643885,2,1,1,PROP_MAT_PRETA,SG_UF,-0.2050152719020844,0.2050152719020844,False,True
116,1,0.6795470714569092,0.5691523551940918,0.0,0.590206115003744,2,2,0,"COBERTURA_CRECHE_0_3, IDH_EXPECT_ANOS_ESTUDO",,-0.11039471626281738,0.11039471626281738,True,False
116,2,0.6795470714569092,0.2913098335266113,0.0,0.590206115003744,2,1,1,PROP_ESC_PUBLICA,SG_UF,-0.3882372379302979,0.3882372379302979,False,True
116,3,0.6795470714569092,0.2768473327159881,0.0,0.590206115003744,2,1,1,PROP_DOM_SEM_CONJUGE_MULHER,SG_UF,-0.4026997387409211,0.4026997387409211,False,True
250,1,0.6900654435157776,0.1597769856452942,0.0,0.6007244870626124,2,1,1,COBERTURA_CRECHE_0_3,SG_UF,-0.5302884578704834,0.5302884578704834,False,True
250,2,0.6900654435157776,0.4922224879264831,0.0,0.6007244870626124,2,1,1,IDH_EXPECT_ANOS_ESTUDO,SG_UF,-0.1978429555892945,0.1978429555892945,False,True
250,3,0.6900654435157776,0.3482147455215454,0.0,0.6007244870626124,2,1,1,LOG_PIB_PC,SG_UF,-0.3418506979942322,0.3418506979942322,False,True
226,1,0.7013598084449768,0.3745385706424713,0.0,0.6120188519918116,2,1,1,PROP_ESC_PUBLICA,SG_UF,-0.3268212378025055,0.3268212378025055,False,True
226,2,0.7013598084449768,0.5371649861335754,0.0,0.6120188519918116,1,1,0,COBERTURA_CRECHE_0_3,,-0.16419482231140137,0.16419482231140137,True,False
226,3,0.7013598084449768,0.5398282408714294,0.0,0.6120188519918116,2,2,0,"COBERTURA_CRECHE_0_3, PERC_RENDA_OUTRAS_FONTES",,-0.16153156757354736,0.16153156757354736,True,False
130,1,0.709356427192688,0.5104606747627258,0.0,0.6200154707395228,1,1,0,COBERTURA_CRECHE_0_3,,-0.19889575242996216,0.19889575242996216,True,False
130,2,0.709356427192688,0.5108733177185059,0.0,0.6200154707395228,2,2,0,"COBERTURA_CRECHE_0_3, PROP_ESC_URBANA",,-0.19848310947418213,0.19848310947418213,True,False
130,3,0.709356427192688,0.4152961075305938,0.0,0.6200154707395228,1,0,1,,SG_UF,-0.29406031966209417,0.29406031966209417,False,True
156,1,0.7109376192092896,0.3099679350852966,0.0,0.6215966627561244,1,0,1,,SG_UF,-0.400969684123993,0.400969684123993,False,True
156,2,0.7109376192092896,0.3752507865428924,0.0,0.6215966627561244,2,1,1,PROP_MAT_BRANCA,SG_UF,-0.33568683266639715,0.33568683266639715,False,True
156,3,0.7109376192092896,0.5974730253219604,0.0,0.6215966627561244,2,2,0,"LOG_POP_TOTAL, PROP_MAT_PARDA",,-0.1134645938873291,0.1134645938873291,True,False
216,1,0.7322343587875366,0.2078902572393417,0.0,0.6428934023343714,2,1,1,IDH_EXPECT_ANOS_ESTUDO,SG_UF,-0.5243441015481949,0.5243441015481949,False,True
216,2,0.7322343587875366,0.567848265171051,0.0,0.6428934023343714,2,1,1,IDH_EXPECT_ANOS_ESTUDO,SG_UF,-0.1643860936164856,0.1643860936164856,False,True
216,3,0.7322343587875366,0.3455269336700439,0.0,0.6428934023343714,1,0,1,,SG_UF,-0.38670742511749273,0.38670742511749273,False,True
200,1,0.7437160015106201,0.4775432348251343,0.0,0.6543750450574549,2,2,0,"COBERTURA_CRECHE_0_3, MEDIA_MAT_0_3_POR_ESCOLA",,-0.26617276668548584,0.26617276668548584,True,False
200,2,0.7437160015106201,0.4668209552764892,0.0,0.6543750450574549,2,2,0,"COBERTURA_CRECHE_0_3, MEDIA_MAT_0_3_POR_ESCOLA",,-0.2768950462341309,0.2768950462341309,True,False
200,3,0.7437160015106201,0.3229686915874481,0.0,0.6543750450574549,2,1,1,IDH_RAZAO_DEPENDENCIA,SG_UF,-0.420747309923172,0.420747309923172,False,True
179,1,0.7775499820709229,0.3853481411933899,0.0,0.6882090256177577,2,2,0,"COBERTURA_CRECHE_0_3, LOG_POP_TOTAL",,-0.39220184087753296,0.39220184087753296,True,False
179,2,0.7775499820709229,0.3491894602775574,0.0,0.6882090256177577,2,1,1,PROP_MAT_PRETA,SG_UF,-0.4283605217933655,0.4283605217933655,False,True
179,3,0.7775499820709229,0.3913909196853637,0.0,0.6882090256177577,1,0,1,,SG_UF,-0.38615906238555914,0.38615906238555914,False,True
