instance_rank,original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,original__SG_UF,counterfactual__SG_UF,original__PROP_ESC_PUBLICA,counterfactual__PROP_ESC_PUBLICA,original__PROP_ESC_URBANA,counterfactual__PROP_ESC_URBANA,original__PROP_MAT_BRANCA,counterfactual__PROP_MAT_BRANCA,original__PROP_MAT_PRETA,counterfactual__PROP_MAT_PRETA,original__PROP_MAT_PARDA,counterfactual__PROP_MAT_PARDA,original__PROP_MAT_INDIGENA,counterfactual__PROP_MAT_INDIGENA,original__COBERTURA_CRECHE_0_3,counterfactual__COBERTURA_CRECHE_0_3,original__ESCOLAS_CRECHE_POR_1000_CRIAN,counterfactual__ESCOLAS_CRECHE_POR_1000_CRIAN,original__MEDIA_MAT_0_3_POR_ESCOLA,counterfactual__MEDIA_MAT_0_3_POR_ESCOLA,original__LOG_POP_TOTAL,counterfactual__LOG_POP_TOTAL,original__PIB_PC,counterfactual__PIB_PC,original__LOG_PIB_PC,counterfactual__LOG_PIB_PC,original__TAXA_OCUP_FEM,counterfactual__TAXA_OCUP_FEM,original__TAXA_OCUP_MASC,counterfactual__TAXA_OCUP_MASC,original__PROP_MAES_JOVENS,counterfactual__PROP_MAES_JOVENS,original__PROP_DOM_SEM_CONJUGE_MULHER,counterfactual__PROP_DOM_SEM_CONJUGE_MULHER,original__PERC_RENDA_OUTRAS_FONTES,counterfactual__PERC_RENDA_OUTRAS_FONTES,original__RENDA_MEDIANA_RESPONSAVEL,counterfactual__RENDA_MEDIANA_RESPONSAVEL,original__IDH_PROP_POBREZA_CRIANCAS,counterfactual__IDH_PROP_POBREZA_CRIANCAS,original__IDH_GINI,counterfactual__IDH_GINI,original__IDH_EXPECT_ANOS_ESTUDO,counterfactual__IDH_EXPECT_ANOS_ESTUDO,original__IDH_RAZAO_DEPENDENCIA,counterfactual__IDH_RAZAO_DEPENDENCIA
1,17,1,0.6449697017669678,0.05407274141907692,0.0,0.5556287453138026,BA,RN,0.958333,0.958333,0.333333,0.333333,0.178244,0.178244,0.090433,0.090433,0.722149,0.722149,0.0,0.0,0.377551,0.377551,81.632653,81.632653,5,5,8.560061,8.560061,13654.27,181436.49,9.521881,9.521881,0.279425,0.279425,0.566294,0.566294,0.00785,0.00785,0.152683,0.152683,48.95,48.95,1212.0,1212.0,57.14,57.14,0.46,0.46,8.85,8.85,56.73,56.73
1,17,2,0.6449697017669678,0.397348016500473,0.0,0.5556287453138026,BA,BA,0.958333,0.958333,0.333333,0.333333,0.178244,0.178244,0.090433,0.090433,0.722149,0.722149,0.0,0.0,0.377551,0.03817,81.632653,81.632653,5,5,8.560061,8.560061,13654.27,13654.27,9.521881,9.521881,0.279425,0.279425,0.566294,0.566294,0.00785,0.00785,0.152683,0.152683,48.95,48.95,1212.0,1212.0,57.14,57.14,0.46,0.46,8.85,8.85,56.73,56.73
1,17,3,0.6449697017669678,0.27418190240859985,0.0,0.5556287453138026,BA,SE,0.958333,0.958333,0.333333,0.333333,0.178244,0.178244,0.090433,0.090433,0.722149,0.722149,0.0,0.0,0.377551,0.377551,81.632653,81.632653,5,5,8.560061,8.560061,13654.27,13654.27,9.521881,12.765084,0.279425,0.279425,0.566294,0.566294,0.00785,0.00785,0.152683,0.152683,48.95,48.95,1212.0,1212.0,57.14,57.14,0.46,0.46,8.85,8.85,56.73,56.73
2,22,1,0.6580827236175537,0.3235442340373993,0.0,0.5687417671643885,BA,SE,0.923077,0.923077,0.730769,0.730769,0.029028,0.029028,0.245283,0.245283,0.712627,0.712627,0.001451,0.001451,0.439614,0.439614,41.867955,41.867955,10,10,9.287209,9.287209,16170.12,231606.74,9.690982,9.690982,0.328553,0.328553,0.490503,0.490503,0.019123,0.019123,0.195887,0.195887,46.95,46.95,1212.0,1212.0,42.94,42.94,0.45,0.45,8.64,8.64,53.02,53.02
2,22,2,0.6580827236175537,0.12998522818088531,0.0,0.5687417671643885,BA,RN,0.923077,0.923077,0.730769,0.730769,0.029028,0.029028,0.245283,0.245283,0.712627,0.712627,0.001451,0.001451,0.439614,0.439614,41.867955,41.867955,10,10,9.287209,9.287209,16170.12,16170.12,9.690982,10.785808,0.328553,0.328553,0.490503,0.490503,0.019123,0.019123,0.195887,0.195887,46.95,46.95,1212.0,1212.0,42.94,42.94,0.45,0.45,8.64,8.64,53.02,53.02
2,22,3,0.6580827236175537,0.45306745171546936,0.0,0.5687417671643885,BA,PB,0.923077,0.923077,0.730769,0.730769,0.029028,0.029028,0.245283,0.11295,0.712627,0.712627,0.001451,0.001451,0.439614,0.439614,41.867955,41.867955,10,10,9.287209,9.287209,16170.12,16170.12,9.690982,9.690982,0.328553,0.328553,0.490503,0.490503,0.019123,0.019123,0.195887,0.195887,46.95,46.95,1212.0,1212.0,42.94,42.94,0.45,0.45,8.64,8.64,53.02,53.02
3,116,1,0.6795470714569092,0.5691523551940918,0.0,0.590206115003744,BA,BA,1.0,1.0,0.571429,0.571429,0.109856,0.109856,0.061602,0.061602,0.813142,0.813142,0.0,0.0,0.778846,0.371947,33.653846,33.653846,23,23,8.380457,8.380457,12646.79,12646.79,9.445238,9.445238,0.322305,0.322305,0.516061,0.516061,0.013564,0.013564,0.135542,0.135542,48.96,48.96,1212.0,1212.0,45.35,45.35,0.4,0.4,9.34,9.9,49.45,49.45
3,116,2,0.6795470714569092,0.29130983352661133,0.0,0.590206115003744,BA,CE,1.0,0.9,0.571429,0.571429,0.109856,0.109856,0.061602,0.061602,0.813142,0.813142,0.0,0.0,0.778846,0.778846,33.653846,33.653846,23,23,8.380457,8.380457,12646.79,12646.79,9.445238,9.445238,0.322305,0.322305,0.516061,0.516061,0.013564,0.013564,0.135542,0.135542,48.96,48.96,1212.0,1212.0,45.35,45.35,0.4,0.4,9.34,9.34,49.45,49.45
3,116,3,0.6795470714569092,0.27684733271598816,0.0,0.590206115003744,BA,CE,1.0,1.0,0.571429,0.571429,0.109856,0.109856,0.061602,0.061602,0.813142,0.813142,0.0,0.0,0.778846,0.778846,33.653846,33.653846,23,23,8.380457,8.380457,12646.79,12646.79,9.445238,9.445238,0.322305,0.322305,0.516061,0.516061,0.013564,0.013564,0.135542,0.152262,48.96,48.96,1212.0,1212.0,45.35,45.35,0.4,0.4,9.34,9.34,49.45,49.45
4,250,1,0.6900654435157776,0.1597769856452942,0.0,0.6007244870626124,BA,RN,0.818182,0.818182,0.636364,0.636364,0.196248,0.196248,0.25469,0.25469,0.545455,0.545455,0.000722,0.000722,0.460274,0.342612,30.136986,30.136986,15,15,8.730852,8.730852,10387.56,10387.56,9.248461,9.248461,0.352829,0.352829,0.552758,0.552758,0.010405,0.010405,0.154729,0.154729,47.11,47.11,1212.0,1212.0,52.32,52.32,0.47,0.47,9.35,9.35,52.5,52.5
