number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
0,0.3647412769409481,2026-06-20 00:35:30.432351,2026-06-20 00:35:33.307376,0 days 00:00:02.875025,8,423,6,3.084057324112238,0.0674778892536705,0.0245569704089621,0.0131925970106994,COMPLETE
1,0.35304097858904415,2026-06-20 00:35:33.307500,2026-06-20 00:35:34.469091,0 days 00:00:01.161591,5,471,7,0.001043957205899637,0.01770754533604777,0.042076463897593896,0.009768979540746858,COMPLETE
2,0.3235307108344228,2026-06-20 00:35:34.469213,2026-06-20 00:35:38.385498,0 days 00:00:03.916285,9,161,70,0.1824615007865183,0.005390241589426342,0.14063641546665887,0.009925073613886191,COMPLETE
3,0.32701860195984556,2026-06-20 00:35:38.385621,2026-06-20 00:35:39.264327,0 days 00:00:00.878706,5,246,15,5.4667100228508785,0.04886108586641333,3.50971748957476,0.008932464250012293,COMPLETE
4,0.31615401960309,2026-06-20 00:35:39.264448,2026-06-20 00:35:40.680666,0 days 00:00:01.416218,5,359,69,0.00811818439968805,0.021501669593808986,3.8196288869682897,0.010034028393561873,COMPLETE
5,0.3197201339604525,2026-06-20 00:35:40.680790,2026-06-20 00:36:11.863936,0 days 00:00:31.183146,10,873,27,0.5699131012937728,0.011680561962700177,0.15522875453128987,0.008918742991785439,COMPLETE
6,0.31234620555164,2026-06-20 00:36:11.864070,2026-06-20 00:36:21.486025,0 days 00:00:09.621955,8,766,86,0.002738853327193501,0.006646276254954435,0.05332014284740044,0.009224118050383109,COMPLETE
7,0.3659359454445815,2026-06-20 00:36:21.486166,2026-06-20 00:36:31.123402,0 days 00:00:09.637236,9,835,9,0.07159269596871937,0.10837867626448654,0.04075187568421098,0.015847980788523792,COMPLETE
8,0.3176542515152554,2026-06-20 00:36:31.123533,2026-06-20 00:36:52.027711,0 days 00:00:20.904178,9,801,43,1.7524043726788687,0.017407149057571535,5.670904500462172,0.008508585246492777,COMPLETE
9,0.3184249705762715,2026-06-20 00:36:52.027882,2026-06-20 00:36:54.097150,0 days 00:00:02.069268,3,918,96,0.002685135893731186,0.04066305791418106,0.015509327386387004,0.011132162290290126,COMPLETE
