number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_k_features,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse_cv_std,state
0,0.31465616957270653,2026-06-20 00:31:30.037580,2026-06-20 00:31:33.560948,0 days 00:00:03.523368,0.8736292171234455,42,0.00737621033990358,10,62,452,125,0.025111325057950388,1.1373423415261557e-07,0.8962128112202452,0.009440226230747587,COMPLETE
1,0.3208557293346099,2026-06-20 00:31:33.561094,2026-06-20 00:31:37.595214,0 days 00:00:04.034120,0.7338784314042971,39,0.0234217746560402,8,33,407,123,0.0013516273206942158,2.8897148167770262e-08,0.8205667122294009,0.00947487124882411,COMPLETE
2,0.3149116790452466,2026-06-20 00:31:37.595344,2026-06-20 00:31:42.443921,0 days 00:00:04.848577,0.7568159373274026,54,0.007848563647177237,11,64,678,74,1.3320402029199775e-07,1.1895421358428624e-08,0.6283659322558602,0.008993746977646369,COMPLETE
3,0.3370855710854544,2026-06-20 00:31:42.444046,2026-06-20 00:31:48.881943,0 days 00:00:06.437897,0.7773334222621695,74,0.12979971055382486,9,61,895,75,0.0002482475391394391,2.4598096567079284,0.7075777001352475,0.006711082884834029,COMPLETE
4,0.31717098382396036,2026-06-20 00:31:48.882071,2026-06-20 00:31:50.245816,0 days 00:00:01.363745,0.9858154934739579,92,0.037539868620484765,9,40,107,22,1.0644644527227e-06,0.0036059326223843897,0.8195713754433009,0.010093840554778733,COMPLETE
5,0.31729357742149855,2026-06-20 00:31:50.245939,2026-06-20 00:31:55.403593,0 days 00:00:05.157654,0.6703861783974469,94,0.013386008315505363,6,65,930,100,0.00023907151260064145,1.4384397138661324e-08,0.8479146993621012,0.009209058637710545,COMPLETE
6,0.3135432098038241,2026-06-20 00:31:55.403716,2026-06-20 00:31:58.019455,0 days 00:00:02.615739,0.7932577060301209,99,0.007466796895419162,4,11,366,53,0.3094614907684041,0.015039472045690665,0.9286879101787203,0.010863143148403883,COMPLETE
7,0.31621364676744385,2026-06-20 00:31:58.019586,2026-06-20 00:32:02.055900,0 days 00:00:04.036314,0.7271163020923868,63,0.01389323579034826,4,37,862,64,0.08484490811066785,0.49245477257264864,0.8384765103499388,0.00941535616073663,COMPLETE
8,0.31720884971226243,2026-06-20 00:32:02.056030,2026-06-20 00:32:09.103410,0 days 00:00:07.047380,0.8870164492784083,43,0.0061274927270247945,12,17,333,84,0.13895328027090884,4.4399884317127025,0.992955637458126,0.010971893980276759,COMPLETE
9,0.32505557265705326,2026-06-20 00:32:09.103531,2026-06-20 00:32:13.478274,0 days 00:00:04.374743,0.6032968179919832,95,0.06718171480241653,9,31,345,106,0.5907104005213495,6.561951257397604e-07,0.9253543162798099,0.010020501267469192,COMPLETE
10,0.36294005519708394,2026-06-20 00:32:13.478417,2026-06-20 00:32:16.004555,0 days 00:00:02.526138,0.862736789684058,16,0.1484446558697327,3,8,661,25,6.136911567034673e-06,9.666336534608121e-05,0.7300772903814124,0.012302463143511928,COMPLETE
11,0.3341634493927001,2026-06-20 00:32:16.004686,2026-06-20 00:32:18.408159,0 days 00:00:02.403473,0.8507976075468351,11,0.005007098899165868,6,80,479,44,4.748536777921281,0.0001678524124203906,0.9395030589454008,0.007239613291511537,COMPLETE
12,0.315029040434501,2026-06-20 00:32:18.408290,2026-06-20 00:32:19.786291,0 days 00:00:01.378001,0.952659914904484,29,0.011064235305451224,6,50,160,47,0.008655894543816716,0.006943239573126972,0.9095936194903868,0.00913345584974176,COMPLETE
13,0.3161970028609869,2026-06-20 00:32:19.786438,2026-06-20 00:32:22.611537,0 days 00:00:02.825099,0.8146186984697243,76,0.0089145073257358,4,22,542,128,6.742792374936989,2.9450993558800984e-06,0.9881572602906379,0.010574947964442883,COMPLETE
14,0.32480151168883137,2026-06-20 00:32:22.611669,2026-06-20 00:32:31.905036,0 days 00:00:09.293367,0.9160572408987152,78,0.020343304638879137,11,7,254,99,0.009666605946799071,0.034301315326355664,0.88863286062766,0.013171992836453511,COMPLETE
15,0.3156285938486495,2026-06-20 00:32:31.905228,2026-06-20 00:32:35.509896,0 days 00:00:03.604668,0.8098514930971183,27,0.007323131760555824,7,76,590,49,0.024668245147335333,3.878513577284796e-05,0.7823609797752122,0.009465581504891593,COMPLETE
16,0.3129338404890771,2026-06-20 00:32:35.510027,2026-06-20 00:32:36.659913,0 days 00:00:01.149886,0.9227971150319513,52,0.018146529319958485,3,47,234,110,1.0225554889150075,3.613476412543259e-07,0.8789016684779581,0.008427225352027725,COMPLETE
17,0.3114310551363198,2026-06-20 00:32:36.660054,2026-06-20 00:32:37.733733,0 days 00:00:01.073679,0.9985305890608399,59,0.027884391454840923,3,47,220,36,0.6998930850040677,1.067764049586867e-05,0.9496114532395767,0.00833776655657857,COMPLETE
18,0.3113816352228168,2026-06-20 00:32:37.733862,2026-06-20 00:32:38.812939,0 days 00:00:01.079077,0.9825644301730467,58,0.039669913132820804,3,47,220,30,1.176623186152081,3.1520716410269147e-06,0.9769809234353987,0.008055683421128806,COMPLETE
19,0.3168530137217308,2026-06-20 00:32:38.813073,2026-06-20 00:32:39.938541,0 days 00:00:01.125468,0.9893201599855072,61,0.038648833165705956,5,53,241,32,7.584599434736593,5.130106420707887e-06,0.9648840118752319,0.009865023129536469,COMPLETE
20,0.31177371035297174,2026-06-20 00:32:39.938665,2026-06-20 00:32:40.822025,0 days 00:00:00.883360,0.9491111637709012,67,0.03767732333584585,3,55,167,34,0.0014260584717491797,1.0878214605306724e-05,0.961079885539705,0.008123612914149658,COMPLETE
21,0.3112097973868191,2026-06-20 00:32:40.822149,2026-06-20 00:32:41.677570,0 days 00:00:00.855421,0.949788643582046,67,0.039028915376618165,3,45,151,36,1.6795597814628524e-05,9.504267978040971e-06,0.9551936440864216,0.00851669191814077,COMPLETE
22,0.31581369369252416,2026-06-20 00:32:41.677694,2026-06-20 00:32:42.658776,0 days 00:00:00.981082,0.9958511717150965,53,0.05900093187390997,5,44,114,16,3.1217807807332205e-08,0.0002732231472949253,0.9906898413401926,0.00986600344214748,COMPLETE
