number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
0,0.3420453572440474,2026-06-20 01:11:44.026887,2026-06-20 01:11:44.875002,0 days 00:00:00.848115,relu,0.00014263802237965593,64,"(128,)",69,0.004864092642919887,0.012911722758182696,COMPLETE
1,0.33067203485369967,2026-06-20 01:11:44.875137,2026-06-20 01:11:46.012318,0 days 00:00:01.137181,tanh,0.008157697868860083,128,"(128, 64)",74,0.003243244203431514,0.016508139141564876,COMPLETE
2,0.3528963223898001,2026-06-20 01:11:46.012450,2026-06-20 01:11:46.884280,0 days 00:00:00.871830,tanh,5.606751484634179e-06,128,"(32,)",52,0.00047206336346790486,0.006502671970978733,COMPLETE
3,0.3243952649719831,2026-06-20 01:11:46.884411,2026-06-20 01:11:48.164393,0 days 00:00:01.279982,tanh,0.0010431549178481342,16,"(64,)",71,0.0003990659234492281,0.009403729045911104,COMPLETE
4,0.3216345871676901,2026-06-20 01:11:48.164519,2026-06-20 01:11:49.669694,0 days 00:00:01.505175,tanh,1.3011055712525332e-06,32,"(128,)",97,0.00012747141660844803,0.008631890451445821,COMPLETE
5,0.3382902602638194,2026-06-20 01:11:49.669821,2026-06-20 01:11:50.404113,0 days 00:00:00.734292,relu,2.5014128801042004e-05,64,"(64, 32)",64,0.008143220594519341,0.010140449340553914,COMPLETE
6,0.32519923602236067,2026-06-20 01:11:50.404238,2026-06-20 01:11:52.037236,0 days 00:00:01.632998,tanh,1.0886390947746876e-06,32,"(64, 32)",26,0.00027095310612820105,0.008373500860779948,COMPLETE
7,0.32936561008334575,2026-06-20 01:11:52.037356,2026-06-20 01:11:52.859092,0 days 00:00:00.821736,tanh,0.004093897791412555,64,"(64, 32)",23,0.0005276908865845106,0.010786758991858821,COMPLETE
8,0.3406341088101378,2026-06-20 01:11:52.859222,2026-06-20 01:11:53.817781,0 days 00:00:00.958559,tanh,5.664070460494444e-06,32,"(64, 32)",81,0.007214240912933421,0.011835095191453015,COMPLETE
9,0.3426130524701158,2026-06-20 01:11:53.817897,2026-06-20 01:11:54.661895,0 days 00:00:00.843998,relu,3.8112804390621745e-06,32,"(128,)",13,0.000867339224422102,0.018809919506101974,COMPLETE
10,0.3333516512940769,2026-06-20 01:11:54.662029,2026-06-20 01:11:57.601648,0 days 00:00:02.939619,relu,0.0002012766954030738,16,"(128, 64, 32)",100,0.00011759795458240145,0.01614429342928203,COMPLETE
11,0.32575289962825044,2026-06-20 01:11:57.601778,2026-06-20 01:11:59.640517,0 days 00:00:02.038739,tanh,0.0006256560252803998,16,"(64,)",98,0.00010885219073083607,0.009260975012817231,COMPLETE
12,0.3238704606701766,2026-06-20 01:11:59.640643,2026-06-20 01:12:01.220747,0 days 00:00:01.580104,tanh,0.001165955492391503,16,"(64,)",47,0.00022123711287743214,0.010146618111663192,COMPLETE
13,0.3271733556456286,2026-06-20 01:12:01.220874,2026-06-20 01:12:02.653013,0 days 00:00:01.432139,tanh,3.816982690405858e-05,16,"(64,)",45,0.0001944528464248988,0.008418479499619701,COMPLETE
