feature,selection_score,selected
LOG_POP_TOTAL,0.0926514139194321,True
PROP_ESC_PUBLICA,0.0859039542035509,True
SG_UF_BA,0.07923230383693003,True
PROP_ESC_URBANA,0.07304283991544658,True
PROP_DOM_SEM_CONJUGE_MULHER,0.06999139228572115,True
TAXA_OCUP_MASC,0.05661786260119417,True
ESCOLAS_CRECHE_POR_1000_CRIAN,0.04722499248956158,True
PROP_MAT_PRETA,0.04192646819374968,True
SG_UF_CE,0.03730264270957928,True
LOG_PIB_PC,0.03546972037307228,True
SG_UF_RN,0.034005455947421215,True
SG_UF_PI,0.03383243095855848,True
IDH_PROP_POBREZA_CRIANCAS,0.03268760975929208,True
TAXA_OCUP_FEM,0.032637699448646806,True
MEDIA_MAT_0_3_POR_ESCOLA,0.029800240534751943,True
COBERTURA_CRECHE_0_3,0.02603446649396446,True
IDH_EXPECT_ANOS_ESTUDO,0.024922083681635954,True
PIB_PC,0.023147734277629617,True
PERC_RENDA_OUTRAS_FONTES,0.022941064069192052,True
IDH_RAZAO_DEPENDENCIA,0.02092226636547867,True
RENDA_MEDIANA_RESPONSAVEL,0.018628071202224206,True
SG_UF_PB,0.01741493822966733,True
PROP_MAT_INDIGENA,0.016014170426231544,True
IDH_GINI,0.008682701583614616,True
SG_UF_AL,0.00868103131305542,True
SG_UF_MA,0.0039496264789420366,True
PROP_MAES_JOVENS,0.00205233111709191,True
PROP_MAT_BRANCA,0.0,True
SG_UF_PE,0.0,True
PROP_MAT_PARDA,0.0,True
SG_UF_SE,0.0,True
