number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse_cv_std,state
0,0.36619101152007755,2026-06-20 01:03:56.725710,2026-06-20 01:03:59.114625,0 days 00:00:02.388915,0.8782120348542608,10,0.12335632836832063,5,0.4405595735774462,428,0.007173643757113686,0.036388667374119645,0.9374192870429033,0.013021593071799419,COMPLETE
1,0.3173316769266993,2026-06-20 01:03:59.114768,2026-06-20 01:04:01.080232,0 days 00:00:01.965464,0.6458176945002426,57,0.0845412788409632,7,0.11524556543638888,443,7.6852750764523154,3.1571333757289462e-06,0.8660734110170849,0.010533619493841049,COMPLETE
2,0.312874314512837,2026-06-20 01:04:01.080376,2026-06-20 01:04:02.763909,0 days 00:00:01.683533,0.6072089671236125,93,0.013200661834263766,4,0.024090082026080317,314,2.047145398287577e-07,7.062013282956477,0.6765087908952939,0.010465021378486226,COMPLETE
3,0.3324629226872916,2026-06-20 01:04:02.764050,2026-06-20 01:04:12.660697,0 days 00:00:09.896647,0.868363287753807,17,0.00986705464061773,8,0.33786396391514834,992,0.9098675507395014,0.0005392043745588091,0.6177306284969237,0.009071403484118914,COMPLETE
4,0.3162591035779149,2026-06-20 01:04:12.660841,2026-06-20 01:04:17.183712,0 days 00:00:04.522871,0.7917947557047218,60,0.007731832782101069,7,0.5933330681946912,425,2.0776766410272176e-07,0.013298130118148153,0.7149901878370889,0.010132213466547906,COMPLETE
5,0.3243500332570223,2026-06-20 01:04:17.183869,2026-06-20 01:04:22.455382,0 days 00:00:05.271513,0.9513627468987461,54,0.07568389553904087,9,4.102152785440265,499,0.4699931386488929,4.079786920469939e-05,0.8431703019319661,0.010165729536884159,COMPLETE
6,0.3237885426295294,2026-06-20 01:04:22.455534,2026-06-20 01:04:29.914303,0 days 00:00:07.458769,0.860240644529505,39,0.04625391298352094,7,0.019516247488741884,873,0.004226826721098131,9.955268933924177e-05,0.8734414397766974,0.010274297579923939,COMPLETE
7,0.3655251051397521,2026-06-20 01:04:29.914449,2026-06-20 01:04:32.829929,0 days 00:00:02.915480,0.8555405047279051,11,0.1278659418556582,9,0.06550264681281759,755,0.00031470695123725026,0.0010793774839694484,0.9976130441079454,0.019147186574467744,COMPLETE
8,0.32179254703123217,2026-06-20 01:04:32.830076,2026-06-20 01:04:40.969830,0 days 00:00:08.139754,0.6433981407272835,97,0.04001632590538843,7,0.06030630363230208,872,4.766091588785249e-08,1.0897711875995122e-05,0.638881122265495,0.007989575788831593,COMPLETE
9,0.3683252028613537,2026-06-20 01:04:40.969981,2026-06-20 01:04:44.542463,0 days 00:00:03.572482,0.9659534711536482,8,0.11505341134373653,10,0.9916411240748697,523,1.7030004917201397e-07,0.33631530685618366,0.6230328655607776,0.010740575945178184,COMPLETE
10,0.32096977070836724,2026-06-20 01:04:44.542612,2026-06-20 01:04:45.230982,0 days 00:00:00.688370,0.726908480966728,99,0.01673186297503124,2,8.619919972848207,117,2.997968760899562e-06,1.008476437406561e-08,0.7431536010231161,0.009142327322644202,COMPLETE
11,0.32092653378757535,2026-06-20 01:04:45.231120,2026-06-20 01:04:46.540642,0 days 00:00:01.309522,0.7078601585675677,78,0.005385234806842111,4,0.010811152488954137,214,3.3318536888799723e-06,5.786468454256558,0.7189632323033476,0.009190840686934085,COMPLETE
12,0.31339499293901507,2026-06-20 01:04:46.540788,2026-06-20 01:04:48.595016,0 days 00:00:02.054228,0.7663452477525979,76,0.014528106955399935,5,2.5023004482273308,296,2.6197571355884778e-06,8.464186022086981,0.7200034652814291,0.01046244311542559,COMPLETE
13,0.3125144938532726,2026-06-20 01:04:48.595162,2026-06-20 01:04:50.073576,0 days 00:00:01.478414,0.6061697906469661,84,0.01825375451226198,4,2.844455954048342,259,1.760637686210136e-05,8.565366943921934,0.7689886945337281,0.010464570271471432,COMPLETE
14,0.3128241915722098,2026-06-20 01:04:50.073722,2026-06-20 01:04:51.292232,0 days 00:00:01.218510,0.6043216152054635,84,0.026123204649761835,3,16.6830919159969,266,0.00012426457264902473,0.6924543082131303,0.7927196566450643,0.00991183403958553,COMPLETE
15,0.31340633056453177,2026-06-20 01:04:51.292372,2026-06-20 01:04:52.093994,0 days 00:00:00.801622,0.6038111139800058,76,0.026088551180777433,2,16.349062167385398,180,0.00017883019738178794,0.13416590717076515,0.7872594664086767,0.009664256220823049,COMPLETE
16,0.3160901115197622,2026-06-20 01:04:52.094121,2026-06-20 01:04:54.443956,0 days 00:00:02.349835,0.6848487483258971,85,0.022356165231885924,3,3.196573735151994,638,4.019090500017265e-05,0.35522652074776745,0.798605897350197,0.010522859899708048,COMPLETE
17,0.31607372749624485,2026-06-20 01:04:54.444104,2026-06-20 01:04:56.325971,0 days 00:00:01.881867,0.6578673619876658,62,0.03455612286311468,5,13.941322886906685,300,0.004465569476902884,1.2740809945593425,0.7827799486501924,0.009423786323528246,COMPLETE
18,0.312581451405726,2026-06-20 01:04:56.326118,2026-06-20 01:04:57.389274,0 days 00:00:01.063156,0.6131338263108019,86,0.02252727817980893,3,1.5358930693638533,211,5.3910350742419657e-05,0.006831337779433615,0.8296603035497601,0.008583259185833263,COMPLETE
